key_id,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating
32,387427,2659,1908,Taqueria Cancún,(415) 252-9560,94110,CA,San Francisco,2288 Mission St,0,1,0,Cha Cha Cha,(415) 824-1502,94110,CA,San Francisco,2327 Mission District Street,0,1,0
33,387469,3005,1908,Commonwealth,(415) 355-1500,94110,CA,San Francisco,2224 Mission St,0,0,0,Cha Cha Cha,(415) 824-1502,94110,CA,San Francisco,2327 Mission District Street,0,1,0
34,387473,3048,1908,La Santaneca,(415) 648-1034,94110,CA,San Francisco,3781 Mission St,0,1,0,Cha Cha Cha,(415) 824-1502,94110,CA,San Francisco,2327 Mission District Street,0,1,0
35,114997,304,505,Jim’s Original Hot Dog,(312) 733-7820,60607,IL,Chicago,1250 S Union Ave,0,1,0,Jim's Original,(312) 733-7820,60607,IL,Chicago,1250 S Union Avenue,0,1,0
36,641773,700,3193,North Pond,(773) 477-5845,60614,IL,Chicago,2610 N Cannon Dr,0,0,0,Goose Island Brewpub,(312) 915-0071,60614,IL,Chicago,1800 N Clybourn Avenue,0,1,0
37,134981,762,600,George Street Pub,(773) 661-6635,60657,IL,Chicago,2858 N Halsted St,0,0,1,Clark Street Dog,(773) 281-6690,60657,IL,Chicago,3040 N. Clark Street,1,1,1
38,195013,948,901,McSorley’s Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th St,0,0,0,Motorino,(212) 777-2644,10003,NY,New York,349 E 12th Street,1,1,0
39,38622,763,162,Max’s Take Out,(312) 553-0170,60603,IL,Chicago,20 E Adams St,1,1,0,Elephant & Castle - Central Loop Hotel,(312) 236-6656,60603,IL,Chicago,111 W Adams Street Central Loop Hotel,0,1,1
40,293950,1596,1323,Balzem,(646) 837-7033,10012,NY,New York,202 Mott St,1,1,1,Balzem,(646) 837-7033,10012,NY,New York,202 Mott Street,1,1,1
41,92255,201,400,Toro Sushi,(773) 348-7255,60614,IL,Chicago,2546 N Clark St,0,1,0,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Avenue,1,1,0
42,92347,466,400,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Ave,1,1,0,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Avenue,1,1,0
43,92348,467,400,Mon Ami Gabi,(773) 348-8886,60614,IL,Chicago,2300 N Lincoln Park W,1,1,1,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Avenue,1,1,0
44,665689,1663,3291,Dahlia Bakery,(206) 441-4540,98121,WA,Seattle,2001 4th Ave,0,1,1,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1
45,665714,1738,3291,Lola,(206) 441-1430,98121,WA,Seattle,2000 4th Ave,0,1,1,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1
46,665725,1768,3291,Umi Sake House,(206) 374-8717,98121,WA,Seattle,2230 1st Ave,0,1,0,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1
47,665760,1854,3291,Macrina Bakery & Cafe,(206) 448-4032,98121,WA,Seattle,2408 1st Ave,0,1,1,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1
48,665783,1910,3291,Dahlia Lounge,(206) 682-4142,98121,WA,Seattle,2001 4th Ave,0,1,0,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1
49,402870,3001,1998,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Joanie's Happy Days Diner,(415) 928-4343,94133,CA,San Francisco,1329 Columbus Avenue,0,1,0
50,402865,2974,1998,Curry Leaf,(415) 440-4293,94133,CA,San Francisco,943 Columbus Ave,0,1,1,Joanie's Happy Days Diner,(415) 928-4343,94133,CA,San Francisco,1329 Columbus Avenue,0,1,0
51,696496,2399,3403,Blackboard Bistro,(206) 257-4832,98116,WA,Seattle,3247 California Ave SW,0,1,1,Fresh Bistro,(206) 935-3733,98116,WA,Seattle,4725 42nd Avenue SW,1,1,1
52,653960,214,3248,Davanti Enoteca,(312) 226-5550,60607,IL,Chicago,1359 W Taylor St,0,1,0,Davanti Enoteca,(312) 226-5550,60607,IL,Chicago,1359 W Taylor Street,0,1,0
53,679481,2239,3335,Cactus Restaurants,(206) 324-4140,98112,WA,Seattle,4220 E Madison St,0,1,1,Cactus,(206) 324-4140,98112,WA,Seattle,4220 East Madison Street,0,1,1
54,679492,2298,3335,Bar Cantinetta,(206) 329-1501,98112,WA,Seattle,2811 E Madison St,0,0,1,Cactus,(206) 324-4140,98112,WA,Seattle,4220 East Madison Street,0,1,1
55,18128,519,78,Twin Anchors Restaurant & Tavern,(312) 266-1616,60614,IL,Chicago,1655 N Sedgwick St,0,1,1,Twin Anchors,(312) 266-1616,60614,IL,Chicago,1655 N. Sedgwick Street,0,1,1
56,48841,209,206,Doc B’s Fresh Kitchen,(312) 626-1300,60611,IL,Chicago,100 E Walton St,1,1,1,Emilio's Sol Y Nieve,(312) 467-7177,60611,IL,Chicago,215 E Ohio Street,0,1,1
57,16917,161,74,Sultan’s Market,(773) 235-3072,60647,IL,Chicago,2057 W North Ave,1,1,1,Sultan's Market,(773) 235-3072,60647,IL,Chicago,2057 W North Avenue,1,1,0
58,16972,289,74,The Map Room,(773) 252-7636,60647,IL,Chicago,1949 N Hoyne Ave,0,0,0,Sultan's Market,(773) 235-3072,60647,IL,Chicago,2057 W North Avenue,1,1,0
59,17042,477,74,Enso Sushi &  Bar,(773) 878-8998,60647,IL,Chicago,1613 N Damen Ave,1,1,0,Sultan's Market,(773) 235-3072,60647,IL,Chicago,2057 W North Avenue,1,1,0
60,281694,942,1261,Aquagrill,(212) 274-0505,10012,NY,New York,210 Spring Street,0,1,1,Chef's Club By Food and Wine,(212) 941-1100,10012,NY,New York,275 Mulberry Street,0,0,0
61,281706,1299,1261,Chefs Club by Food & Wine,(212) 941-1100,10012,NY,New York,275 Mulberry St,0,0,0,Chef's Club By Food and Wine,(212) 941-1100,10012,NY,New York,275 Mulberry Street,0,0,0
62,653327,328,3246,Antique Taco,(773) 687-8697,60622,IL,Chicago,1360 N Milwaukee Ave,0,1,1,Antique Taco,(773) 687-8697,60622,IL,Chicago,1360 N. Milwaukee Avenue,0,1,0
63,349045,2530,1651,Little Star Pizza,(415) 551-7827,94103,CA,San Francisco,400 Valencia St,0,1,0,Little Star Pizza,(415) 551-7827,94103,CA,San Francisco,400 Valencia Street,0,1,0
64,349090,3058,1651,Pica Pica Arepa Kitchen,(628) 400-5744,94103,CA,San Francisco,401 Valencia St,1,1,0,Little Star Pizza,(415) 551-7827,94103,CA,San Francisco,400 Valencia Street,0,1,0
65,393149,2501,1942,Acquerello,(415) 567-5432,94109,CA,San Francisco,1722 Sacramento St,0,0,0,Acquerello,(415) 567-5432,94109,CA,San Francisco,1722 Sacramento Street,0,0,0
66,394060,2733,1947,Spin City Launderette & Coffee Bar,(415) 695-2939,94114,CA,San Francisco,1299 Sanchez St,0,1,1,Samovar Tea Lounge,(415) 626-4700,94114,CA,San Francisco,498 Sanchez Street,0,1,1
67,342635,2425,1599,Anchor Oyster Bar,(415) 431-3990,94114,CA,San Francisco,579 Castro St,0,1,0,Anchor Oyster Bar,(415) 431-3990,94114,CA,San Francisco,579 Castro Street,0,1,1
68,109006,201,468,Toro Sushi,(773) 348-7255,60614,IL,Chicago,2546 N Clark St,0,1,0,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N. Clark Street,0,1,0
69,109019,285,468,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N Halsted St,0,1,0,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N. Clark Street,0,1,0
70,109100,735,468,Stella Barra Pizzeria,(773) 634-4101,60614,IL,Chicago,1954 N Halsted St,0,1,1,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N. Clark Street,0,1,0
71,109108,772,468,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N Clark St,0,1,0,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N. Clark Street,0,1,0
72,27153,778,118,Osteria La Madia,(312) 329-0400,60654,IL,Chicago,59 W Grand Ave,1,1,0,La Scarola,(312) 243-1740,60654,IL,Chicago,721 W. Grand Avenue,0,1,0
73,27079,173,118,Tanta,(312) 222-9700,60654,IL,Chicago,118 W Grand Ave,0,0,1,La Scarola,(312) 243-1740,60654,IL,Chicago,721 W. Grand Avenue,0,1,0
74,148387,610,677,Floriole Cafe & Bakery,(773) 883-1313,60614,IL,Chicago,1220 W Webster Ave,0,1,1,Uncle Sammy's,(773) 525-4800,60614,IL,Chicago,1231 W. Fullerton Avenue,1,1,0
75,148407,666,677,Sai Cafe,(773) 472-8080,60614,IL,Chicago,2010 N Sheffield Ave,1,1,0,Uncle Sammy's,(773) 525-4800,60614,IL,Chicago,1231 W. Fullerton Avenue,1,1,0
76,148430,720,677,Geja’s Cafe,(773) 281-9101,60614,IL,Chicago,340 W Armitage Ave,1,1,0,Uncle Sammy's,(773) 525-4800,60614,IL,Chicago,1231 W. Fullerton Avenue,1,1,0
77,157167,910,721,Le Bernardin,(212) 554-1515,10019,NY,New York,155 W 51st St,0,0,0,Le Bernardin,(212) 554-1515,10019,NY,New York,155 W 51st Street,0,0,0
78,157182,1034,721,Loi Estiatorio,(212) 713-0015,10019,NY,New York,132 W 58th St,1,1,0,Le Bernardin,(212) 554-1515,10019,NY,New York,155 W 51st Street,0,0,0
79,371355,2744,1792,Limón Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 S Van Ness Ave,0,1,0,Limon Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
80,371366,2878,1792,Cafeto Coffee Shop,(415) 970-9090,94110,CA,San Francisco,111 Richland Ave,0,1,1,Limon Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
81,371379,3029,1792,Wild Side West,(415) 647-3099,94110,CA,San Francisco,424 Cortland Ave,0,0,1,Limon Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
82,371380,3066,1792,Mae Krua,(415) 574-7334,94110,CA,San Francisco,331 Cortland Ave,0,1,0,Limon Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
83,97292,31,418,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N Milwaukee Ave,0,1,1,The Silver Palm,(312) 666-9322,60622,IL,Chicago,768 N. Milwaukee Avenue,0,1,0
84,97363,322,418,The Bongo Room,(773) 489-0690,60622,IL,Chicago,1470 N Milwaukee Ave,0,1,0,The Silver Palm,(312) 666-9322,60622,IL,Chicago,768 N. Milwaukee Avenue,0,1,0
85,427274,3001,2153,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Kennedy's Irish Pub and Curry House,(415) 441-8855,94133,CA,San Francisco,1040 Columbus Avenue,0,1,0
86,427235,2582,2153,Italian Homemade Company,(415) 712-8874,94133,CA,San Francisco,716 Columbus Ave,0,1,1,Kennedy's Irish Pub and Curry House,(415) 441-8855,94133,CA,San Francisco,1040 Columbus Avenue,0,1,0
87,427252,2750,2153,Eight AM,(415) 292-4888,94133,CA,San Francisco,1323 Columbus Ave,0,1,1,Kennedy's Irish Pub and Curry House,(415) 441-8855,94133,CA,San Francisco,1040 Columbus Avenue,0,1,0
88,427268,2974,2153,Curry Leaf,(415) 440-4293,94133,CA,San Francisco,943 Columbus Ave,0,1,1,Kennedy's Irish Pub and Curry House,(415) 441-8855,94133,CA,San Francisco,1040 Columbus Avenue,0,1,0
89,705442,2332,3448,Shug’s Soda Fountain + Ice Cream,(206) 602-6420,98101,WA,Seattle,1525 1st Avenue,0,1,1,Benihana,(206) 682-4686,98101,WA,Seattle,1200 5th Avenue,0,1,0
90,325848,1301,1465,Blue Ribbon Sushi,(212) 343-0404,10012,NY,New York,119 Sullivan St,0,1,0,Ken & Cook,(212) 966-3058,10012,NY,New York,19 Kenmare Street,1,1,1
91,269180,1001,1204,Murray’s Cheese Bar,(646) 476-8882,10014,NY,New York,264 Bleecker St,0,1,0,Murray's Cheese,(212) 243-3289,10014,NY,New York,254 Bleecker Street,1,1,0
92,39224,337,167,The Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 N Ashland Ave,1,1,0,Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 North Ashland Avenue,1,1,0
93,692760,2014,3389,Alibi Room,(206) 623-3180,98101,WA,Seattle,85 Pike St,0,1,0,Alibi Room,(206) 623-3180,98101,WA,Seattle,Pike Place Market,0,1,0
94,367137,2970,1771,Nopalito,(415) 233-9966,94122,CA,San Francisco,1224 9th Ave,0,1,1,Nopalito,(415) 233-9966,94122,CA,San Francisco,1224 9th Avenue,0,1,1
95,367138,3023,1771,Nabe,(415) 731-2658,94122,CA,San Francisco,1325 9th Ave,0,1,0,Nopalito,(415) 233-9966,94122,CA,San Francisco,1224 9th Avenue,0,1,1
96,702302,2133,3436,Bad Jimmy’s Brewing Co.,(206) 789-1548,98107,WA,Seattle,4358 B Leary Way Nw,0,0,1,Kickin' Boot,(206) 783-2668,98107,WA,Seattle,5309 22nd Avenue NW,0,1,1
97,702331,2358,3436,Pie Bar Ballard,(206) 535-8489,98107,WA,Seattle,2218 NW Market St,0,1,0,Kickin' Boot,(206) 783-2668,98107,WA,Seattle,5309 22nd Avenue NW,0,1,1
98,702416,1705,3436,Café Besalu,(206) 789-1463,98107,WA,Seattle,5909 24th Ave NW,0,1,1,Kickin' Boot,(206) 783-2668,98107,WA,Seattle,5309 22nd Avenue NW,0,1,1
99,7298,626,31,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1
100,40577,630,173,Bistro Campagne,(773) 271-6100,60625,IL,Chicago,4518 N Lincoln Ave,0,1,1,Cafe Selmarie,(773) 989-5595,60625,IL,Chicago,4729 N Lincoln Avenue,0,1,1
101,417915,2996,2087,Metro Caffe,(415) 621-9536,94117,CA,San Francisco,247 Fillmore St,1,1,1,Cafe Du Soleil,(415) 934-8637,94117,CA,San Francisco,200 Fillmore Street,0,0,1
102,250981,1556,1132,BondSt,(212) 777-2500,10012,NY,New York,6 Bond St,0,0,0,BONDST,(212) 777-2500,10012,NY,New York,6 Bond Street,0,0,0
103,275535,1393,1235,Two Little Red Hens,(212) 452-0476,10028,NY,New York,1652 2nd Ave,0,1,0,Le Pain Quotidien,(212) 327-4900,10028,NY,New York,1131 Madison Avenue,0,0,0
104,33742,289,142,The Map Room,(773) 252-7636,60647,IL,Chicago,1949 N Hoyne Ave,0,0,0,Map Room,(773) 252-7636,60647,IL,Chicago,1949 N. Hoyne Avenue,0,0,0
105,449398,2705,2308,Réveille Coffee Co.,(415) 789-6258,94114,CA,San Francisco,4076 18th St,0,1,1,Le Zinc,(415) 647-9400,94114,CA,San Francisco,4063 24th Street,0,0,1
106,449456,2983,2308,Subs Inc.,(415) 648-4256,94114,CA,San Francisco,1300 Castro St,0,1,0,Le Zinc,(415) 647-9400,94114,CA,San Francisco,4063 24th Street,0,0,1
107,449466,3061,2308,Eureka Restaurant & Lounge,(415) 431-6000,94114,CA,San Francisco,4063 18th St,0,1,0,Le Zinc,(415) 647-9400,94114,CA,San Francisco,4063 24th Street,0,0,1
108,642168,783,3194,Nami Sushi Bar,(872) 241-4407,60613,IL,Chicago,1828 W Montrose Ave,1,1,0,Glenn's Diner,(773) 506-1720,60613,IL,Chicago,1820 W Montrose Avenue,0,1,1
109,271587,942,1215,Aquagrill,(212) 274-0505,10012,NY,New York,210 Spring Street,0,1,1,Arturo's,(212) 677-3820,10012,NY,New York,106 W Houston Street,1,1,1
110,116682,751,515,Kiki’s Bistro,(312) 335-5454,60610,IL,Chicago,900 N Franklin St,0,1,1,Blue Agave,(312) 335-8900,60610,IL,Chicago,1050 N State Street,0,1,1
111,363856,3035,1753,Mama’s On Washington Square,(415) 362-6421,94133,CA,San Francisco,1701 Stockton St,0,0,0,Tony's Coal-Fired Pizza and Slice House,(415) 835-9888,94133,CA,San Francisco,1556 Stockton Street,0,1,1
112,370014,3001,1785,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Caffe Greco,(415) 397-6261,94133,CA,San Francisco,423 Columbus Avenue,0,1,1
113,370005,2774,1785,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133,CA,San Francisco,348 Columbus Ave,0,1,0,Caffe Greco,(415) 397-6261,94133,CA,San Francisco,423 Columbus Avenue,0,1,1
114,696685,2243,3404,Mr. Gyros,(206) 782-7777,98107,WA,Seattle,5522 20th Ave NW,0,1,0,Golden Beetle,(206) 706-2977,98107,WA,Seattle,1744 NW Market Street,0,1,0
115,696690,2358,3404,Pie Bar Ballard,(206) 535-8489,98107,WA,Seattle,2218 NW Market St,0,1,0,Golden Beetle,(206) 706-2977,98107,WA,Seattle,1744 NW Market Street,0,1,0
116,49145,243,207,Beatrix River North,(312) 284-1377,60654,IL,Chicago,519 North Clark Street,0,1,1,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 West Kinzie Street,0,1,1
117,49152,303,207,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 W Kinzie St,0,1,1,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 West Kinzie Street,0,1,1
118,49176,731,207,Bow Truss Coffee Roasters River North,(312) 222-1306,60654,IL,Chicago,406 N Wells St,0,1,0,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 West Kinzie Street,0,1,1
119,24242,179,107,Tru,(312) 202-0001,60611,IL,Chicago,676 N Saint Clair St,0,0,0,Tru,(312) 202-0001,60611,IL,Chicago,676 N. Clair Street,0,1,0
120,400113,2779,1985,Universal Cafe,(415) 821-4608,94110,CA,San Francisco,2814 19th St,0,1,1,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1
121,400079,2650,1985,24th Street Mini Park,(415) 717-2872,94110,CA,San Francisco,24th St & York St,0,0,0,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1
122,400127,2832,1985,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission St,0,1,0,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1
123,400150,2909,1985,Mission Banh Mi,(415) 551-1772,94110,CA,San Francisco,2200 Mission St,0,1,0,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1
124,400156,2930,1985,Dynamo Donut & Coffee,(415) 920-1978,94110,CA,San Francisco,2760 24th St,0,1,1,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1
125,400161,2958,1985,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission St,0,1,1,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1
126,180153,1139,827,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Ave,0,0,0,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Avenue,0,0,0
127,395639,2928,1961,Cinderella Bakery & Cafe,(415) 751-9690,94118,CA,San Francisco,436 Balboa St,0,1,1,Sushi Bistro,(415) 933-7100,94118,CA,San Francisco,431 Balboa Street,0,1,0
128,6498,43,26,Joe’s Seafood,(312) 379-5637,60611,IL,Chicago,60 E Grand Ave,1,1,0,Joe's Seafood,(312) 379-5637,60611,IL,Chicago,60 E Grand Avenue,1,1,0
129,373190,2600,1801,Chiotras Grocery,(415) 824-2353,94107,CA,San Francisco,858 Rhode Island St,0,1,1,Tres,(415) 227-0500,94107,CA,San Francisco,130 Townsend Street,0,1,0
130,388404,3001,1916,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Avenue,0,0,0
131,388424,2999,1916,Il Pollaio,(415) 362-7727,94133,CA,San Francisco,555 Columbus Ave,0,1,0,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Avenue,0,0,0
132,388397,2774,1916,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133,CA,San Francisco,348 Columbus Ave,0,1,0,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Avenue,0,0,0
