,key_id,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label
932,933,353171,2438,1684,Rosamunde Sausage Grill,(415) 437-6851,94117,CA,San Francisco,545 Haight St,1,1,0,Rosamunde Sausage Grill,(415) 437-6851,94117,CA,San Francisco,545 Haight Street,0,0,0,1
494,495,2824,200,12,Piece Brewery and Pizzeria,(773) 772-4422,60622,IL,Chicago,1927 W North Ave,1,1,0,Piece,(773) 772-4422,60622,IL,Chicago,1927 W North Avenue,1,1,0,1
219,220,378576,2473,1844,Lovejoy’s Tea Room,(415) 648-5895,94114,CA,San Francisco,1351 Church St,0,0,0,Lovejoy's Antiques & Tea Room,(415) 648-5895,94114,CA,San Francisco,1351 Church Street,0,0,0,1
822,823,668288,2092,3302,The Hi Spot Cafe,(206) 325-7905,98122,WA,Seattle,1410 34th Ave,0,1,1,Oddfellows Cafe & Bar,(206) 325-0807,98122,WA,Seattle,1525 10th Avenue,0,0,1,0
34,35,114997,304,505,Jim’s Original Hot Dog,(312) 733-7820,60607,IL,Chicago,1250 S Union Ave,0,1,0,Jim's Original,(312) 733-7820,60607,IL,Chicago,1250 S Union Avenue,0,1,0,1
651,652,3760,735,14,Stella Barra Pizzeria,(773) 634-4101,60614,IL,Chicago,1954 N Halsted St,0,1,1,Chicago Pizza & Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark Street,0,1,0,0
946,947,2412,294,10,Little Goat Diner,(312) 888-3455,60607,IL,Chicago,820 W Randolph St,0,1,1,Little Goat Diner,(312) 888-3455,60607,IL,Chicago,820 W Randolph Street,0,1,1,1
565,566,651124,230,3234,La Scarola,(312) 243-1740,60610,IL,Chicago,721 W Grand Ave,0,1,0,India House,(312) 645-9500,60610,IL,Chicago,59 W Grand Avenue,0,1,0,0
586,587,644364,212,3205,The Purple Pig,(312) 464-1744,60611,IL,Chicago,500 N Michigan Ave,0,0,1,The Cheesecake Factory,(312) 337-1101,60611,IL,Chicago,875 N Michigan Avenue,0,1,1,0
829,830,167577,1180,769,Jean-Georges,(212) 299-3900,10023,NY,New York,1 Central Park W,0,0,0,Jean-Georges,(212) 299-3900,10023,NY,New York,1 Central Park West,0,0,0,1
46,47,665760,1854,3291,Macrina Bakery & Cafe,(206) 448-4032,98121,WA,Seattle,2408 1st Ave,0,1,1,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1,1
241,242,130,648,1,Aloha Eats,(773) 935-6828,60614,IL,Chicago,2534 N Clark St,1,1,0,Alinea,(312) 867-0110,60614,IL,Chicago,1723 N. Halsted Street,0,0,0,0
1013,1014,364702,3044,1760,Terzo,(415) 441-3200,94123,CA,San Francisco,3011 Steiner St,0,1,1,The Plant Cafe Organic,(415) 931-2777,94123,CA,San Francisco,3352 Steiner Street,1,1,1,0
36,37,134981,762,600,George Street Pub,(773) 661-6635,60657,IL,Chicago,2858 N Halsted St,0,0,1,Clark Street Dog,(773) 281-6690,60657,IL,Chicago,3040 N. Clark Street,1,1,1,0
97,98,702416,1705,3436,Café Besalu,(206) 789-1463,98107,WA,Seattle,5909 24th Ave NW,0,1,1,Kickin' Boot,(206) 783-2668,98107,WA,Seattle,5309 22nd Avenue NW,0,1,1,0
199,200,397810,3001,1973,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Comstock Saloon,(415) 617-0071,94133,CA,San Francisco,155 Columbus Avenue,0,1,1,0
865,866,324254,1200,1458,La Lanterna di Vittorio,(212) 529-5945,10012,NY,New York,129 MacDougal St,0,1,1,La Lanterna di Vittorio,(212) 529-5945,10012,NY,New York,129 Macdougal Street,0,0,1,1
768,769,446733,2801,2290,Manora’s Thai Cuisine,(415) 861-6224,94103,CA,San Francisco,1600 Folsom St,1,1,0,Citizen's Band,(415) 556-4901,94103,CA,San Francisco,1198 Folsom Street,0,1,0,0
1033,1034,371936,3001,1799,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Curry Leaf,(415) 440-4293,94133,CA,San Francisco,943 Columbus Avenue,0,1,0,0
644,645,353049,2887,1682,Basik Cafe,(415) 655-3283,94109,CA,San Francisco,1958 Polk St,0,1,0,Pearl's Deluxe Burgers,(415) 409-6120,94109,CA,San Francisco,708 Post Street,0,1,0,0
287,288,390854,2804,1929,Cordon Bleu,(415) 673-5637,94109,CA,San Francisco,1574 California St,0,1,0,MyMy Coffee Shop,(415) 800-7466,94109,CA,San Francisco,1500 California Street,0,1,1,0
465,466,695851,1808,3400,Il Terrazzo Carmine,(206) 467-7797,98104,WA,Seattle,411 1st Ave S,0,1,1,Il Terrazzo Carmine,(206) 467-7797,98104,WA,Seattle,411 1st Avenue South,0,1,1,1
518,519,153461,577,704,Cozy Corner Restaurant & Pancake House,(773) 276-2215,60647,IL,Chicago,2294 N Milwaukee Ave,0,1,0,Father & Son,(773) 252-2620,60647,IL,Chicago,2475 N Milwaukee Avenue,1,1,0,0
576,577,105362,97,448,Schwa,(773) 252-1466,60622,IL,Chicago,1466 N Ashland Ave,0,0,0,Roots Handmade Pizza,(773) 645-4949,60622,IL,Chicago,1924 W. Chicago Avenue,1,1,1,0
290,291,419440,3059,2102,Garibaldi’s,(415) 563-8841,94115,CA,San Francisco,347 Presidio Ave,0,1,0,Garibaldi's,(415) 563-8841,94115,CA,San Francisco,347 Presidio Avenue,0,1,0,1
695,696,178317,1600,813,Da Andrea,(212) 367-1979,10011,NY,New York,35 W 13th St,1,1,1,Boqueria,(212) 255-4160,10011,NY,New York,53 W 19th Street,1,1,0,0
570,571,5793,710,23,Blaze Fast-Fire’d Pizza,(312) 255-1290,60611,IL,Chicago,227 E Ontario St,0,1,1,Gino's East,(312) 266-3337,60611,IL,Chicago,162 E Superior Street,1,1,1,0
859,860,109815,526,473,Bacino’s of Lincoln Park,(773) 472-7400,60614,IL,Chicago,2204 N Lincoln Ave,1,1,0,Stanley's Kitchen and Tap,(312) 642-0007,60614,IL,Chicago,1970 N Lincoln Avenue,0,1,0,0
1061,1062,421331,2740,2109,Absinthe Brasserie & Bar,(415) 551-1590,94102,CA,San Francisco,398 Hayes St,0,1,1,Caffe Delle Stelle,(415) 252-1110,94102,CA,San Francisco,395 Hayes Street,0,1,1,0
447,448,192346,1099,886,Beyond Sushi - Chelsea Market,(212) 929-2889,10011,NY,New York,75 9th Ave,1,1,0,A Salt & Battery,(212) 691-2713,10011,NY,New York,112 Greenwich Avenue,1,1,0,0
903,904,141000,391,635,Taco Joint,(312) 951-2457,60614,IL,Chicago,1969 N Halsted St,1,1,0,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N. Halsted Street,0,1,0,0
488,489,15828,535,69,Bongiorno’s Italian Deli & Pizzeria,(312) 755-1255,60611,IL,Chicago,405 N Wabash Ave,1,1,1,Hugo's Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush Street,0,1,1,0
500,501,710598,1888,3462,Daniel’s Broiler,(206) 621-8262,98109,WA,Seattle,809 Fairview Pl N,0,1,1,Duke's Chowder House,(206) 382-9963,98109,WA,Seattle,901 Fairview Avenue North,0,1,1,0
374,375,79634,200,349,Piece Brewery and Pizzeria,(773) 772-4422,60622,IL,Chicago,1927 W North Ave,1,1,0,Arami,(312) 243-1535,60622,IL,Chicago,1829 W. Chicago Avenue,1,1,0,0
164,165,338140,2604,1556,Delfina,(415) 552-4055,94110,CA,San Francisco,3621 18th St,0,1,0,Dynamo Donuts & Coffee,(415) 920-1978,94110,CA,San Francisco,2760 24th Street,0,1,0,0
852,853,43084,477,177,Enso Sushi &  Bar,(773) 878-8998,60647,IL,Chicago,1613 N Damen Ave,1,1,0,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Avenue,0,1,1,0
203,204,46845,82,197,Sapori Trattoria,(312) 967-9358,60614,IL,Chicago,2701 N Halsted St,0,1,1,Toro Sushi,(773) 348-4877,60614,IL,Chicago,2546 N Clark Street,1,1,0,0
1065,1066,220041,1482,1009,Alta,(212) 505-7777,10011,NY,New York,64 W 10th St,0,0,0,La Maison du Macaron,(212) 243-2757,10011,NY,New York,132 W 23rd Street,1,1,0,0
160,161,254536,882,1148,Pylos,(212) 473-0220,10009,NY,New York,128 E 7th St,0,1,0,Pylos,(212) 473-0220,10009,NY,New York,128 E 7th Street,0,1,0,1
636,637,119123,443,525,Feed,(773) 489-4600,60622,IL,Chicago,2803 W Chicago Ave,0,1,1,Fatso's Last Stand,(773) 245-3287,60622,IL,Chicago,2258 W. Chicago Avenue,1,1,1,0
719,720,157354,943,722,Blue Hill,(212) 539-1776,10011,NY,New York,75 Washington Pl,0,0,0,Buddakan,(212) 989-6699,10011,NY,New York,75 9th Avenue,0,0,0,0
711,712,668006,1642,3301,Le Panier French Bakery,(206) 441-3669,98101,WA,Seattle,1902 Pike Pl,1,1,0,The Cheesecake Factory,(206) 652-5400,98101,WA,Seattle,700 Pike Street,0,1,0,0
477,478,30170,427,130,Ground Control,(773) 772-9446,60647,IL,Chicago,3315 W Armitage Ave,1,1,1,Margie's Candies,(773) 348-0400,60647,IL,Chicago,1960 N Western Avenue,0,1,0,0
676,677,115644,410,509,Bite Café,(773) 395-2483,60622,IL,Chicago,1035 N Western Ave,0,1,0,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N. Milwaukee Avenue,0,1,1,0
24,25,135381,313,603,The Publican,(312) 733-9555,60607,IL,Chicago,837 W Fulton Market,0,0,1,Nia Mediterranean,(312) 226-3110,60607,IL,Chicago,803 W. Randolph Street,1,1,1,0
480,481,93946,82,408,Sapori Trattoria,(312) 967-9358,60614,IL,Chicago,2701 N Halsted St,0,1,1,Aloha Eats,(773) 935-6828,60614,IL,Chicago,2534 N. Clark Street,1,1,0,0
452,453,109553,694,472,NoMI Kitchen,(312) 239-4030,60611,IL,Chicago,800 N Michigan Ave,0,0,1,Harry Caray's Seventh Inning Stretch,(312) 202-0500,60611,IL,Chicago,835 N Michigan Avenue Water Tower Place,0,1,0,0
442,443,359310,2549,1724,Seven Hills,(415) 775-1550,94109,CA,San Francisco,1550 Hyde St,0,0,0,Seven Hills,(415) 775-1550,94109,CA,San Francisco,1550 Hyde Street,0,0,0,1
854,855,43189,747,177,Hachi’s Kitchen,(773) 276-8080,60647,IL,Chicago,2521 N California Ave,1,1,1,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Avenue,0,1,1,0
126,127,395639,2928,1961,Cinderella Bakery & Cafe,(415) 751-9690,94118,CA,San Francisco,436 Balboa St,0,1,1,Sushi Bistro,(415) 933-7100,94118,CA,San Francisco,431 Balboa Street,0,1,0,0
804,805,16057,212,70,The Purple Pig,(312) 464-1744,60611,IL,Chicago,500 N Michigan Ave,0,0,1,Pizzeria Due,(312) 943-2400,60611,IL,Chicago,619 N Wabash Avenue,1,1,0,0
1053,1054,284622,1595,1279,Spiegel,(212) 228-2894,10009,NY,New York,26 1st Ave,0,1,0,Spiegel,(212) 228-2894,10009,NY,New York,26 1st Avenue,0,1,1,1
210,211,670055,2221,3308,Pike’s Pit Bar-B-Que,(206) 538-0779,98101,WA,Seattle,1505 Pike Place Market,0,1,1,Le Panier,(206) 441-3669,98101,WA,Seattle,Pike Place Market,0,1,0,0
848,849,343980,3056,1612,San Tung,(415) 242-0828,94122,CA,San Francisco,1031 Irving St,0,1,0,San Tung,(415) 242-0828,94122,CA,San Francisco,1031 Irving Street,1,1,0,1
661,662,340962,2574,1580,Zazie,(415) 564-5332,94117,CA,San Francisco,941 Cole St,0,1,1,Zazie,(415) 564-5332,94117,CA,San Francisco,941 Cole Street,0,1,1,1
291,292,76513,667,334,Meatheads,(773) 525-5300,60618,IL,Chicago,3304 N Western Ave,0,1,0,Arun's,(773) 539-1909,60618,IL,Chicago,4156 N Kedzie Avenue,0,0,0,0
486,487,15789,293,69,Gibsons Bar & Steakhouse,(312) 266-8999,60611,IL,Chicago,1028 N Rush St,0,1,1,Hugo's Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush Street,0,1,1,0
949,950,25219,173,109,Tanta,(312) 222-9700,60654,IL,Chicago,118 W Grand Ave,0,0,1,Osteria La Madia,(312) 329-0400,60654,IL,Chicago,59 W Grand Avenue,0,1,0,0
448,449,140098,293,630,Gibsons Bar & Steakhouse,(312) 266-8999,60611,IL,Chicago,1028 N Rush St,0,1,1,Corner Bakery Cafe,(312) 266-2570,60611,IL,Chicago,676 N St. Clair Street,0,1,1,0
298,299,229072,1593,1054,Hillstone Restaurant,(212) 689-1090,10010,NY,New York,378 Park Ave S,0,0,0,Markt,(212) 727-3314,10010,NY,New York,676 6th Avenue,0,0,1,0
92,93,692760,2014,3389,Alibi Room,(206) 623-3180,98101,WA,Seattle,85 Pike St,0,1,0,Alibi Room,(206) 623-3180,98101,WA,Seattle,Pike Place Market,0,1,0,1
889,890,423858,2774,2131,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133,CA,San Francisco,348 Columbus Ave,0,1,0,Mara's Italian Pastry,(415) 397-9435,94133,CA,San Francisco,503 Columbus Avenue,0,1,0,0
1079,1080,103734,509,438,Ruth’s Chris Steak House,(312) 321-2725,60654,IL,Chicago,431 N Dearborn St,0,1,0,House of Blues,(312) 923-2000,60654,IL,Chicago,329 North Dearborn Street,0,1,0,0
913,914,455309,2574,2359,Zazie,(415) 564-5332,94117,CA,San Francisco,941 Cole St,0,1,1,Reverie Coffee Cafe,(415) 242-0200,94117,CA,San Francisco,848 Cole Street,0,1,1,0
1025,1026,442866,3041,2266,Internos Wine Cafe,(415) 751-2661,94118,CA,San Francisco,3240 Geary Blvd,0,0,0,My Tofu House,(415) 750-1818,94118,CA,San Francisco,4627 Geary Boulevard,0,1,0,0
853,854,43122,577,177,Cozy Corner Restaurant & Pancake House,(773) 276-2215,60647,IL,Chicago,2294 N Milwaukee Ave,0,1,0,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Avenue,0,1,1,0
98,99,7298,626,31,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1,1
967,968,335882,2616,1537,Blue Bottle Coffee Co,(510) 653-3394,94103,CA,San Francisco,66 Mint St,0,1,1,Blue Bottle,(415) 495-3394,94103,CA,San Francisco,66 Mint Street,0,1,0,1
724,725,371875,2811,1797,Luisa’s Pizza And Pasta,(415) 563-4043,94109,CA,San Francisco,1550 California St,0,1,1,Grubstake,(415) 673-8268,94109,CA,San Francisco,1525 Pine Street,0,1,0,0
425,426,688491,1680,3370,List,(206) 441-1000,98121,WA,Seattle,2226 1st Ave,0,0,1,List,(206) 441-1000,98121,WA,Seattle,2226 1st Avenue,0,0,1,1
402,403,347559,2438,1643,Rosamunde Sausage Grill,(415) 437-6851,94117,CA,San Francisco,545 Haight St,1,1,0,Blue Front Cafe,(415) 252-5917,94117,CA,San Francisco,1430 Haight Street,0,1,0,0
301,302,59483,720,245,Geja’s Cafe,(773) 281-9101,60614,IL,Chicago,340 W Armitage Ave,1,1,0,Shine,(773) 296-0101,60614,IL,Chicago,756 W. Webster Avenue,0,1,1,0
289,290,320536,1139,1442,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Ave,0,0,0,Tipsy Parson,(212) 620-4545,10011,NY,New York,156 Ninth Avenue,0,1,0,0
78,79,371355,2744,1792,Limón Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 S Van Ness Ave,0,1,0,Limon Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 South Van Ness Avenue,0,1,0,1
250,251,657800,739,3260,Silom 12,(773) 489-1212,60647,IL,Chicago,1846-48 N Milwaukee Ave,1,1,0,Belly Shack,(773) 252-1414,60647,IL,Chicago,1912 N Western Avenue,0,1,0,0
315,316,649599,90,3229,MK Restaurant,(312) 482-9179,60610,IL,Chicago,868 N Franklin St,0,0,0,mk The Restaurant,(312) 482-9179,60610,IL,Chicago,868 N. Franklin Street,0,0,1,1
551,552,350780,3013,1661,Joy’s Place,(415) 817-1391,94109,CA,San Francisco,611 Post St,0,1,0,Farm:Table,(415) 292-7089,94109,CA,San Francisco,754 Post Street,0,0,0,0
444,445,359318,2690,1724,Swan Oyster Depot,(415) 673-1101,94109,CA,San Francisco,1517 Polk St,0,1,0,Seven Hills,(415) 775-1550,94109,CA,San Francisco,1550 Hyde Street,0,0,0,0
921,922,651967,308,3236,Benny’s Chop House,(312) 626-2444,60611,IL,Chicago,444 N Wabash Ave,0,1,0,Benny's Chop House,(312) 626-2444,60611,IL,Chicago,444 N. Wabash Avenue,0,1,0,1
102,103,275535,1393,1235,Two Little Red Hens,(212) 452-0476,10028,NY,New York,1652 2nd Ave,0,1,0,Le Pain Quotidien,(212) 327-4900,10028,NY,New York,1131 Madison Avenue,0,0,0,0
300,301,59473,610,245,Floriole Cafe & Bakery,(773) 883-1313,60614,IL,Chicago,1220 W Webster Ave,0,1,1,Shine,(773) 296-0101,60614,IL,Chicago,756 W. Webster Avenue,0,1,1,0
736,737,429481,3007,2168,Church Street Cafe,(415) 621-2233,94114,CA,San Francisco,260 Church St,0,1,1,Chloe's Cafe,(415) 648-4116,94114,CA,San Francisco,1399 Church Street,0,1,1,0
1059,1060,35310,553,148,Kinzie Chophouse,(312) 822-0191,60654,IL,Chicago,400 N Wells St,1,1,1,Public House,(312) 265-1240,60654,IL,Chicago,400 N State Street,1,1,0,0
1000,1001,382715,3052,1873,Matching Half Cafe,(415) 674-8699,94115,CA,San Francisco,1799 McAllister St,0,1,1,Green Chile Kitchen,(415) 440-9411 (415) 440-9412,94115,CA,San Francisco,1801 McAllister Street,0,1,1,0
537,538,28984,503,125,Adagio Teas,(312) 698-9773,60654,IL,Chicago,617 N State St,0,1,1,Chicago Cut Steakhouse,(312) 329-1800,60654,IL,Chicago,300 N LaSalle Street,0,1,0,0
593,594,354070,2763,1690,Phat Philly,(415) 550-7428,94110,CA,San Francisco,3388 24th St,1,1,1,Papalote,(415) 970-8815,94110,CA,San Francisco,3409 24th Street,0,1,0,0
764,765,711800,2243,3470,Mr. Gyros,(206) 782-7777,98107,WA,Seattle,5522 20th Ave NW,0,1,0,Mike's Chili Parlor,(206) 782-2808,98107,WA,Seattle,1447 NW Ballard Way,0,1,1,0
1063,1064,382278,2827,1869,Fino Ristorante & Bar,(415) 928-2080,94109,CA,San Francisco,624 Post St,0,0,0,Fino,(415) 928-2080,94109,CA,San Francisco,624 Post Street,0,0,0,1
507,508,706158,2258,3449,Jamjuree Thai Cuisine,(206) 323-4255,98112,WA,Seattle,509 15th Ave E,0,1,0,The Wandering Goose,(206) 323-9938,98112,WA,Seattle,403 15th Avenue East,0,1,1,0
589,590,644389,308,3205,Benny’s Chop House,(312) 626-2444,60611,IL,Chicago,444 N Wabash Ave,0,1,0,The Cheesecake Factory,(312) 337-1101,60611,IL,Chicago,875 N Michigan Avenue,0,1,1,0
929,930,334659,2686,1529,Wako Japanese Restaurant,(415) 682-4875,94118,CA,San Francisco,211 Clement St,0,0,0,Burma Superstar,(415) 387-2147,94118,CA,San Francisco,309 Clement Street,0,1,0,0
679,680,7587,88,33,Bang Bang Pie & Biscuits,(773) 276-8888,60647,IL,Chicago,2051 N California Ave,1,1,1,Mindy's Hot Chocolate,(773) 489-1747,60647,IL,Chicago,1747 N Damen Avenue,0,1,0,0
148,149,405100,2770,2013,Amélie,(415) 292-6916,94109,CA,San Francisco,1754 Polk St,0,0,0,Aux Delices,(415) 928-4977,94109,CA,San Francisco,2327 Polk Street,1,1,0,0
640,641,315325,1266,1412,ChikaLicious Dessert Bar,(212) 995-9511,10003,NY,New York,203 E 10th St,0,0,0,Vanessa's Dumplings,(212) 529-1328 (212) 529-1329,10003,NY,New York,220 E 14th Street,1,1,0,0
487,488,15799,377,69,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush St,0,1,1,Hugo's Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush Street,0,1,1,1
746,747,414154,2887,2060,Basik Cafe,(415) 655-3283,94109,CA,San Francisco,1958 Polk St,0,1,0,Thai Stick,(415) 928-7730,94109,CA,San Francisco,698 Post Street,0,1,0,0
941,942,345242,2832,1620,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission St,0,1,0,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission District Street,0,1,1,0
794,795,390348,3048,1925,La Santaneca,(415) 648-1034,94110,CA,San Francisco,3781 Mission St,0,1,0,Taqueria Cancun,(415) 252-9560,94110,CA,San Francisco,2288 Mission District Street,0,1,0,0
523,524,133907,622,595,Bricks,(312) 255-0851,60614,IL,Chicago,1909 N Lincoln Ave,1,1,0,Bricks,(312) 255-0851,60614,IL,Chicago,1909 N Lincoln Avenue,1,1,0,1
173,174,67913,315,293,Wheat’s End Cafe,(773) 770-3527,60657,IL,Chicago,2873 N Broadway St,0,1,0,La Creperie,(773) 528-9050,60657,IL,Chicago,2845 North Clark Street,0,1,1,0
560,561,390561,2722,1927,Lers Ros Thai,(415) 931-6917,94109,CA,San Francisco,730 Larkin St,1,1,0,Turtle Tower,(415) 409-3333,94109,CA,San Francisco,645 Larkin Street,0,1,0,0
682,683,7780,747,33,Hachi’s Kitchen,(773) 276-8080,60647,IL,Chicago,2521 N California Ave,1,1,1,Mindy's Hot Chocolate,(773) 489-1747,60647,IL,Chicago,1747 N Damen Avenue,0,1,0,0
41,42,92347,466,400,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Ave,1,1,0,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Avenue,1,1,0,1
449,450,140117,377,630,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush St,0,1,1,Corner Bakery Cafe,(312) 266-2570,60611,IL,Chicago,676 N St. Clair Street,0,1,1,0
526,527,145844,567,660,The Pasta Bowl,(773) 525-2695,60614,IL,Chicago,2434 N Clark St,1,1,0,The Peasantry,(773) 868-4888,60614,IL,Chicago,2723 N Clark Street,0,1,0,0
125,126,180153,1139,827,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Ave,0,0,0,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Avenue,0,0,0,1
244,245,423374,2686,2127,Wako Japanese Restaurant,(415) 682-4875,94118,CA,San Francisco,211 Clement St,0,0,0,Wako Japanese,(415) 682-4875,94118,CA,San Francisco,211 Clement Street,0,0,0,1
365,366,19681,568,86,Sam & George’s,(773) 935-4025,60657,IL,Chicago,3000 N Lincoln Ave,0,1,0,DMK Burger Bar,(773) 360-8686,60657,IL,Chicago,2954 N Sheffield Avenue,0,1,0,0
66,67,342635,2425,1599,Anchor Oyster Bar,(415) 431-3990,94114,CA,San Francisco,579 Castro St,0,1,0,Anchor Oyster Bar,(415) 431-3990,94114,CA,San Francisco,579 Castro Street,0,1,1,1
833,834,334146,2951,1525,The Progress,(415) 673-1294,94115,CA,San Francisco,1525 Fillmore St,0,0,0,State Bird Provisions,(415) 795-1272,94115,CA,San Francisco,1529 Fillmore Street,0,1,0,0
1009,1010,23312,761,101,Fabcakes,(312) 397-3300,60654,IL,Chicago,714 N Wells St,0,1,1,Roy's,(312) 787-7599,60654,IL,Chicago,720 N. State Street,0,1,1,0
1073,1074,453097,3044,2335,Terzo,(415) 441-3200,94123,CA,San Francisco,3011 Steiner St,0,1,1,Chotto,(415) 441-2223,94123,CA,San Francisco,3317 Steiner Street,0,1,0,0
940,941,345193,2650,1620,24th Street Mini Park,(415) 717-2872,94110,CA,San Francisco,24th St & York St,0,0,0,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission District Street,0,1,1,0
712,713,296072,1578,1338,Rustic Table,(212) 244-0744,10036,NY,New York,504 W 42nd St,1,1,0,Dafni Greek Taverna,(212) 315-1010,10036,NY,New York,325 West 42nd Street,1,1,0,0
426,427,429853,2770,2171,Amélie,(415) 292-6916,94109,CA,San Francisco,1754 Polk St,0,0,0,Aicha Moroccan Cuisine,(415) 345-9947,94109,CA,San Francisco,1303 Polk Street,0,1,0,0
718,719,19406,467,85,Mon Ami Gabi,(773) 348-8886,60614,IL,Chicago,2300 N Lincoln Park W,1,1,1,Molly's Cupcakes,(773) 883-7220,60614,IL,Chicago,2536 N Clark Street,0,1,0,0
223,224,297991,1349,1346,Bengal Tiger Indian Food,(212) 265-2703,10019,NY,New York,58 W 56th St,1,1,0,Benihana,(212) 581-0930,10019,NY,New York,47 W 56th Street,1,1,1,0
689,690,241968,1020,1104,B Side Pizza & Wine Bar,(646) 679-7225,10019,NY,New York,370 W 51st St,0,1,0,Natsumi Bar And Lounge,(212) 258-2988,10019,NY,New York,226 W 50th Street,0,1,0,0
681,682,7615,197,33,Longman & Eagle,(773) 276-7110,60647,IL,Chicago,2657 N Kedzie Ave,0,0,1,Mindy's Hot Chocolate,(773) 489-1747,60647,IL,Chicago,1747 N Damen Avenue,0,1,0,0
