id,Restaurant Name,Phone,Zipcode,State,City,Address,Has Delivery,Has Take-out,Has outdoor seating
91,Fiore Delicatessen,(312) 942-9419,60612,IL,Chicago,2258 W Erie St,1,1,1
92,Do-Rite Donuts & Coffee,(312) 488-2483,60601,IL,Chicago,50 West Randolph Street,0,1,1
93,Cook Au Vin,(773) 489-3141,60614,IL,Chicago,2256 N Elston Ave,0,0,0
94,En Hakkore 2.0,(773) 278-5959,60622,IL,Chicago,1467 N Milwaukee Ave,0,1,0
95,Brightwok Kitchen,(312) 583-0729,60603,IL,Chicago,21 E Adams St,1,1,0
96,Avec,(312) 377-2002,60661,IL,Chicago,615 W Randolph St,0,0,0
97,Schwa,(773) 252-1466,60622,IL,Chicago,1466 N Ashland Ave,0,0,0
98,A Tavola,(773) 276-7567,60622,IL,Chicago,2148 W Chicago Ave,0,1,1
99,The Bagelers Coffeehouse,(872) 802-0347,60614,IL,Chicago,2461 N Lincoln Ave,0,1,1
100,Scofflaw,(773) 252-9700,60647,IL,Chicago,3201 W Armitage Ave,0,0,1
101,Wildberry Pancakes and Cafe,(312) 938-9777,60601,IL,Chicago,130 E Randolph St,0,1,1
102,EL Ideas,(312) 226-8144,60608,IL,Chicago,2419 W 14th St,0,0,0
103,The Panini Republic,(773) 525-2000,60614,IL,Chicago,500 W Diversey Pkwy,1,1,0
104,Eddie V’s Prime Seafood and Steak,(312) 595-1114,60611,IL,Chicago,521 N Rush St,0,0,0
105,CC Ferns Coffee Bar & Spirits,(773) 384-2547,60622,IL,Chicago,2806 W Augusta Blvd,0,1,0
106,Ignite Gaming Lounge,(773) 404-7033,60618,IL,Chicago,3341 N Elston Ave,0,0,0
107,Hungry Brain,(773) 687-8230,60618,IL,Chicago,2319 W Belmont Ave,0,0,1
108,Publican Quality Meats,(312) 445-8977,60607,IL,Chicago,825 W Fulton Market St,0,1,1
109,La Cocina Boricua de la Familia Galarza,(773) 235-7377,60647,IL,Chicago,2420 W Fullerton Ave,0,1,0
110,Buckingham Fountain,(773) 742-7529,60605,IL,Chicago,301 S Columbus Dr,0,0,0
111,Buona Terra Ristorante,(773) 289-3800,60647,IL,Chicago,2535 N California Ave,0,1,1
112,Jarabe- Mexican Street Food,(312) 877-5005,60612,IL,Chicago,2255 W Taylor St,1,1,0
113,The Aberdeen Tap,(312) 929-3845,60642,IL,Chicago,440 N Aberdeen St,0,1,1
114,Coalfire Pizza,(312) 226-2625,60642,IL,Chicago,1321 W Grand Ave,0,1,0
115,Wasabi,(773) 227-8180,60647,IL,Chicago,2115 N Milwaukee Ave,0,1,1
116,Grant Park,(312) 742-7648,60601,IL,Chicago,331 E Randolph St,0,0,0
117,Punta Cana Restaurant,(773) 292-7400,60647,IL,Chicago,2200 N Kimball Ave,1,1,0
118,Breakfast House,(312) 997-2400,60622,IL,Chicago,1800 W Grand Ave,1,1,1
119,Boeufhaus,(773) 661-2116,60622,IL,Chicago,1012 N Western Ave,0,0,0
120,JJ Thai Street Food,(312) 929-4435,60622,IL,Chicago,1715 W Chicago Ave,1,1,0
121,T & T Seafood Restaurant,(773) 961-7016,60625,IL,Chicago,3658 W Lawrence Ave,1,1,0
122,The Corner Bar,,60647,IL,Chicago,2224 N Leavitt St,0,0,0
123,Cafecito,(312) 263-4750,60602,IL,Chicago,7 N Wells St,1,1,0
124,Irazu,(773) 252-5687,60647,IL,Chicago,1865 N Milwaukee Ave,1,1,1
125,Vegetarian Express,(773) 880-9155,60657,IL,Chicago,3109 N Halsted St,1,1,0
126,The Capital Grille,(312) 337-9400,60611,IL,Chicago,633 N Saint Clair St,0,0,0
127,The Aviary,(312) 226-0868,60607,IL,Chicago,955 W Fulton Market,0,0,1
128,Hope Cafe,(312) 857-6499,60608,IL,Chicago,2431 W Roosevelt Rd,0,1,1
129,Boka,(312) 337-6070,60614,IL,Chicago,1729 N Halsted St,0,0,0
130,La Strada Cafe Bar,(708) 627-0403,60647,IL,Chicago,2023 N California Ave,0,1,1
131,Pierogi Heaven,(312) 263-9305,60606,IL,Chicago,169 N Wells St,1,1,0
132,Hendrickx Belgian Bread Crafter,(312) 649-6717,60611,IL,Chicago,100 E Walton St,0,1,1
133,Crisp,(773) 697-7610,60657,IL,Chicago,2940 N Broadway Ave,1,1,0
134,Cafe & Bakery,(773) 661-2391,60622,IL,Chicago,939 N Western Ave,1,1,1
135,Lula Cafe,(773) 489-9554,60647,IL,Chicago,2537 N Kedzie Blvd,0,1,1
136,Scafuri Bakery,(312) 733-8881,60607,IL,Chicago,1337 W Taylor St,1,1,0
137,Forno Rosso Pizzeria Napoletana,(312) 243-6000,60607,IL,Chicago,1048 W Randolph St,1,1,1
138,Vegan Plate,(773) 472-8208,60614,IL,Chicago,1550 W Fullerton Ave,1,1,0
139,Stan’s Donuts & Coffee,(773) 360-7386,60622,IL,Chicago,1560 N Damen Ave,0,1,0
140,The Crab Pad,(773) 360-8332,60647,IL,Chicago,2529 N Milwaukee Ave,0,1,0
141,Shokolad,(773) 276-6402,60622,IL,Chicago,2524 W Chicago Ave,0,1,1
142,Laschet’s Inn,(773) 478-7915,60618,IL,Chicago,2119 W Irving Park Rd,0,1,1
143,Taza Cafe,(312) 201-9885,60606,IL,Chicago,176 N Franklin St,1,1,0
144,Americano 2211,(773) 360-8757,60647,IL,Chicago,2211 W N Ave,0,1,1
145,Green Street Smoked Meats,(312) 754-0431,60607,IL,Chicago,112 N Green St,1,1,1
146,DAVIDsTEA,(773) 883-2183,60614,IL,Chicago,924 W Armitage,0,1,0
147,3 Arts Club Cafe,(312) 475-9116,60610,IL,Chicago,1300 North Dearborn St,0,0,0
148,Chilango Mexican Street Food,(312) 846-6216,60607,IL,Chicago,1437 W Taylor St,1,1,0
149,Cafe Versailles,(773) 283-8891,60641,IL,Chicago,4102 N Pulaski Ave,0,1,0
150,Prime & Provisions,(312) 726-7777,60601,IL,Chicago,222 N La Salle St,0,1,1
151,Del Seoul,(773) 248-4227,60614,IL,Chicago,2568 N Clark St,1,1,0
152,Beermiscuous,(773) 698-6824,60657,IL,Chicago,2812 N Lincoln Ave,0,0,0
153,Cafe Monsivais,(312) 772-8075,60608,IL,Chicago,1637 W 18th St,0,1,0
154,Momotaro,(312) 733-4818,60607,IL,Chicago,820 W Lake St,0,0,0
155,Nick’s On North,(773) 292-6425,60647,IL,Chicago,3323 W North Ave,0,1,0
156,Cocoa + Co.,(312) 624-8540,60614,IL,Chicago,1651 N Wells St,0,1,0
157,The Fat Shallot,(773) 893-0826,60603,IL,Chicago,125 S Clark St,0,1,0
158,Homeslice,(312) 789-4600,60614,IL,Chicago,938 W Webster,1,1,1
159,La Fournette,(815) 518-2340,60610,IL,Chicago,1547 N Wells St,0,1,1
160,Rootstock Wine & Beer Bar,(773) 292-1616,60622,IL,Chicago,954 N California Ave,0,0,1
161,Sultan’s Market,(773) 235-3072,60647,IL,Chicago,2057 W North Ave,1,1,1
162,Opart Thai House,(312) 988-0986,60642,IL,Chicago,1371 W Chicago Ave,1,1,0
163,Les Nomades,(312) 649-9010,60611,IL,Chicago,222 E Ontario St,0,0,0
164,Nando Milano Trattoria,(773) 486-2636,60622,IL,Chicago,2114 W Division St,0,1,1
165,Richard’s Bar,(312) 733-2251,60654,IL,Chicago,491 N Milwaukee Ave,0,0,0
166,Cafe Tola,(773) 687-8428,60613,IL,Chicago,3612 N Southport Ave,0,1,1
167,Uncle Mike’s Place,(312) 226-5318,60622,IL,Chicago,1700 W Grand Ave,1,1,1
168,Chicago Theatre,(312) 462-6300,60601,IL,Chicago,175 N State St,0,0,0
169,Owen & Engine,(773) 235-2930,60647,IL,Chicago,2700 N Western Ave,0,0,1
170,OZ Park,(312) 742-7898,60614,IL,Chicago,2021 N Burling St,0,0,0
171,The Gallery Cabaret,(773) 489-5471,60647,IL,Chicago,2020 N Oakley Ave,0,0,0
172,Caffe Streets,(773) 278-2739,60622,IL,Chicago,1750 W Division,0,1,1
173,Tanta,(312) 222-9700,60654,IL,Chicago,118 W Grand Ave,0,0,1
174,Fruit Paradise,(773) 676-7321,60618,IL,Chicago,3234 N Elston Ave,0,1,0
175,Taqueria Traspasada,(312) 850-2069,60622,IL,Chicago,811 N Ashland Ave,1,1,0
176,Home Bistro,(773) 661-0299,60657,IL,Chicago,3404 N Halsted St,0,0,0
177,Brew Brew Coffee Lounge,(773) 687-9498,60647,IL,Chicago,3832 W Diversey Ave,0,1,0
178,Ixcateco Grill,(773) 539-5887,60618,IL,Chicago,3402 W Montrose Ave,0,1,0
179,Tru,(312) 202-0001,60611,IL,Chicago,676 N Saint Clair St,0,0,0
180,Dos Urban Cantina,(773) 661-6452,60647,IL,Chicago,2829 W Armitage Ave,1,1,1
181,BIG & Little's Restaurant,(773) 857-6677,60657,IL,Chicago,1034 W Belmont Ave,1,1,1
182,CH Distillery,(312) 707-8780,60661,IL,Chicago,564 W Randolph St,0,0,0
183,Las Palmas,(773) 289-4991,60622,IL,Chicago,1835 W North Ave,1,1,1
184,Loba Pastry + Coffee,(773) 456-9266,60657,IL,Chicago,3422 N Lincoln Ave,0,1,0
185,Dawali Mediterranean Kitchen,(312) 944-5800,60614,IL,Chicago,1625 N Halsted St,1,1,0
186,Ge Pa De Caffe,(312) 332-2200,60603,IL,Chicago,60 E Adams St,0,1,1
187,Papa’s Cache Sabroso,(773) 862-8313,60622,IL,Chicago,2517 W Division St,1,1,1
188,Osmium Coffee Bar,,60657,IL,Chicago,1117 W Belmont Ave,0,1,0
189,Zachi,(773) 327-0000,60657,IL,Chicago,1406 W Belmont Ave,1,1,0
190,Do-Rite Donuts & Coffee,(312) 344-1374,60611,IL,Chicago,233 E Erie St,1,1,1
191,Mexique,(312) 850-0288,60622,IL,Chicago,1529 W Chicago Ave,0,0,0
192,Yelp Elite Battle Of The Band T’s @ RAISED Urban Rooftop Bar,,60601,IL,Chicago,1 West Wacker Dr,0,0,0
193,Troy Mediterranean Grill,(773) 770-3866,60657,IL,Chicago,2908 N Broadway Ave,0,1,0
194,Osteria Langhe,(773) 661-1582,60647,IL,Chicago,2824 W Armitage Ave,0,1,1
195,Fumare Meats & Deli,(312) 930-4220,60661,IL,Chicago,131 N Clinton St,1,1,1
196,Cafe Ba-Ba-Reeba!,(773) 935-5000,60614,IL,Chicago,2024 N Halsted St,1,1,1
197,Longman & Eagle,(773) 276-7110,60647,IL,Chicago,2657 N Kedzie Ave,0,0,1
198,Standing Passengers,(312) 374-3177,60642,IL,Chicago,1458 W Chicago Ave,0,1,0
199,Delilah’s,(773) 472-2771,60614,IL,Chicago,2771 N Lincoln Ave,0,0,0
200,Piece Brewery and Pizzeria,(773) 772-4422,60622,IL,Chicago,1927 W North Ave,1,1,0
201,Toro Sushi,(773) 348-7255,60614,IL,Chicago,2546 N Clark St,0,1,0
202,Cafecito,(312) 922-2233,60605,IL,Chicago,26 E Congress Pkwy,1,1,0
203,Nhu Lan Bakery,(773) 878-9898,60625,IL,Chicago,2612 W Lawrence Ave,0,1,0
204,DiSotto Enoteca,(312) 482-8727,60611,IL,Chicago,200 E Chestnut St,0,0,0
205,The Cotton Duck,(773) 661-6131,60622,IL,Chicago,941 N Damen,0,1,1
206,Giant,(773) 252-0997,60647,IL,Chicago,3209 W Armitage Ave,0,0,0
207,Torta Haüs,(773) 880-8052,60614,IL,Chicago,926 W Diversey Pkwy,1,1,0
208,Gather,(773) 506-9300,60625,IL,Chicago,4539 N Lincoln Ave,0,0,1
209,Doc B’s Fresh Kitchen,(312) 626-1300,60611,IL,Chicago,100 E Walton St,1,1,1
210,Paciugo Lincoln Square,(773) 989-1926,60625,IL,Chicago,2324 W Giddings,0,1,1
211,Blaze Fast-Fire’d Pizza,(773) 348-6255,60657,IL,Chicago,953 W Belmont,0,1,0
212,The Purple Pig,(312) 464-1744,60611,IL,Chicago,500 N Michigan Ave,0,0,1
213,Lake Shore Drive,,60611,IL,Chicago,N Lake Shore Dr,0,0,0
214,Davanti Enoteca,(312) 226-5550,60607,IL,Chicago,1359 W Taylor St,0,1,0
215,Knife & Tine,(773) 697-8311,60614,IL,Chicago,1417 W Fullerton Ave,0,1,0
216,Maude’s Liquor Bar,(312) 243-9712,60607,IL,Chicago,840 W Randolph St,0,0,1
217,The Hideout,(773) 227-4433,60622,IL,Chicago,1354 W Wabansia Ave,0,0,1
218,Links Taproom,(773) 360-7692,60622,IL,Chicago,1559 N Milwaukee Ave,0,0,1
219,Real Kitchen,(773) 281-2888,60613,IL,Chicago,1433 West Montrose,1,1,0
220,Cafe Orient 33,(773) 509-6538,60625,IL,Chicago,4829 N Kedzie Ave,1,1,0
221,Pastoral,(312) 658-1250,60601,IL,Chicago,53 E Lake St,0,1,1
222,Chicago Lakefront Path,,60657,IL,Chicago,1600 N Lake Shore Dr,0,0,0
223,Cornerstone Cafe,(773) 235-1155,60618,IL,Chicago,2753 N Western Ave,0,1,1
224,The Matchbox,(312) 666-9292,60642,IL,Chicago,768 N Milwaukee Ave,0,1,1
225,Dove’s Luncheonette,(773) 645-4060,60622,IL,Chicago,1545 N Damen Ave,0,0,0
226,Native Foods Cafe,(773) 549-4904,60657,IL,Chicago,1023 W Belmont Ave,0,1,0
227,Velvet Taco,(312) 763-2654,60610,IL,Chicago,1110 N State St,0,1,0
228,Zam Zam Middle Eastern Grill,(872) 802-3601,60657,IL,Chicago,3461 N Clark St,1,1,0
229,Goosefoot,(773) 942-7547,60625,IL,Chicago,2656 W Lawrence Ave,0,0,0
230,La Scarola,(312) 243-1740,60610,IL,Chicago,721 W Grand Ave,0,1,0
231,Asado Coffee,(773) 703-3658,60613,IL,Chicago,1432 W Irving Park Rd,0,1,0
232,Nando’s Peri-Peri,(312) 488-3062,60607,IL,Chicago,953 W Randolph St,0,1,1
233,Galway Bay,(773) 348-3750,60657,IL,Chicago,500 W Diversey Pkwy,0,0,0
234,Native Foods Cafe,(312) 332-6332,60604,IL,Chicago,218 S Clark St,0,1,0
235,New York Delicatessen,(773) 799-8642,60657,IL,Chicago,2921 N Clark St,1,1,0
236,CRĪO Bar and Restaurant,(773) 525-2100,60614,IL,Chicago,2506 N Clybourn Ave,0,1,0
237,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Ave,0,1,1
238,RPM Steak,(312) 284-4990,60654,IL,Chicago,66 W. Kinzie St,1,1,1
239,Doc B’s Fresh Kitchen - River North,(312) 999-9300,60611,IL,Chicago,55 E Grand Ave,1,1,1
240,Sawada Coffee,(312) 754-0431,60607,IL,Chicago,112 N Green St,0,1,0
241,Carnitas Uruapan Restaurant,(312) 226-2654,60608,IL,Chicago,1725 W 18th St,0,1,0
242,Batter & Berries,(773) 248-7710,60614,IL,Chicago,2748 N Lincoln Ave,0,1,0
243,Beatrix River North,(312) 284-1377,60654,IL,Chicago,519 North Clark Street,0,1,1
244,Rangoli,(773) 697-7114,60647,IL,Chicago,2421 W North Ave,1,1,0
245,Snaggletooth,(773) 899-4711,60657,IL,Chicago,2819 N Southport Ave,0,1,1
246,Gilt Bar,(312) 464-9544,60654,IL,Chicago,230 W Kinzie St,0,0,1
247,Pequod’s Pizzeria,(773) 327-1512,60614,IL,Chicago,2207 N Clybourn Av,1,1,0
248,Conte Di Savoia,(312) 666-3471,60607,IL,Chicago,1438 W Taylor St,0,1,1
249,Murphy’s Red Hots,(773) 935-2882,60657,IL,Chicago,1211 W Belmont Ave,1,1,1
250,Will’s Northwoods Inn,(773) 528-4400,60657,IL,Chicago,3030 N Racine Ave,0,1,1
251,Robert’s Pizza Company,(708) 536-4597,60611,IL,Chicago,355 E Ohio St,0,1,0
252,Masa Azul,(773) 687-0300,60647,IL,Chicago,2901 W Diversey Ave,0,1,1
253,HERO Coffee Bar,(331) 303-8511,60605,IL,Chicago,439 S Dearborn St,1,1,0
254,Kuma’s Corner,(773) 604-8769,60618,IL,Chicago,2900 W Belmont Ave,0,1,1
255,Quesadilla La Reyna del Sur,(773) 235-8807,60647,IL,Chicago,2235 N Western Ave,1,1,0
256,Rich’s Deli,(773) 235-5263,60622,IL,Chicago,857 N Western Ave,0,1,0
257,Falafel & Grill,(773) 292-8888,60622,IL,Chicago,1317 N Milwaukee Ave,1,1,0
258,Runa Japanese,(773) 278-8887,60647,IL,Chicago,2257 W North Ave,1,1,1
259,Grandma J’s Local Kitchen,(312) 982-1630,60651,IL,Chicago,1552 N Kedzie Ave,0,1,1
260,Pastoral,(773) 472-4781,60657,IL,Chicago,2945 N Broadway,1,1,1
261,Smoque BBQ,(773) 545-7427,60641,IL,Chicago,3800 N Pulaski Rd,0,1,1
262,The Franklin Room,(312) 445-4686,60654,IL,Chicago,675 N Franklin St,0,1,0
263,Lost Lake,(773) 293-6048,60647,IL,Chicago,3154 W Diversey,0,0,0
264,Smalls,(312) 857-4221,60618,IL,Chicago,4009 N Albany,0,1,0
265,Intelligentsia Coffee,(312) 920-9332,60601,IL,Chicago,53 E Randolph St,0,1,1
266,BIG & little’s Restaurant,(312) 943-0000,60610,IL,Chicago,860 N Orleans St,1,1,1
267,Joe’s Wine Cellar,(773) 303-4884,60622,IL,Chicago,2108 W Division St,0,1,1
268,El Cubanito,(773) 235-2555,60639,IL,Chicago,2555 N Pulaski Rd,0,1,0
269,Middle East Bakery & Grocery,(312) 767-6387,60640,IL,Chicago,1512 W Foster Ave,0,1,0
270,Beatrix Streeterville,(312) 642-0001,60611,IL,Chicago,671 N St Clair,0,1,1
271,La Colombe Coffee,(312) 733-0707,60607,IL,Chicago,955 West Randolph St,0,1,0
272,Naf Naf Grill,(312) 263-0019,60601,IL,Chicago,326 N Michigan Ave,0,1,0
273,Shaw’s Crab House,(312) 527-2722,60611,IL,Chicago,21 E Hubbard St,0,1,0
274,Coffee Tree & Tea Leaves,(773) 871-7818,60613,IL,Chicago,3752 N Broadway St,0,0,0
275,Fuh,(773) 270-4418,60614,IL,Chicago,2218 N Lincoln Ave,1,1,0
276,Mastro’s Steakhouse,(312) 521-5100,60654,IL,Chicago,520 N Dearborn St,0,1,0
277,Cafe Vienna,(773) 244-9922,60614,IL,Chicago,2523 N Clark St,0,1,1
278,Hi-Vibe Superfood Juicery,(312) 724-8423,60654,IL,Chicago,160 W Kinzie St,1,1,0
279,Headquarters Beercade Lakeview,(773) 665-5660,60657,IL,Chicago,2833 N. Sheffield,0,0,0
280,Go Tavern and Liquors,(773) 227-4052,60647,IL,Chicago,3219 W Armitage Ave,0,0,0
281,Somethin’ Sweet Donuts,(773) 237-7588,60639,IL,Chicago,5112 W Fullerton Ave,1,1,0
282,Charlatan,(312) 818-2073,60642,IL,Chicago,1329 W Chicago Ave,0,1,1
283,Small Cheval,,60647,IL,Chicago,1732 N Milwaukee Ave,0,1,1
284,Portillo’s Hot Dogs &  Barnelli’s Salad Bowl,(312) 587-8910,60610,IL,Chicago,100 W Ontario St,0,1,1
285,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N Halsted St,0,1,0
286,Firecakes,(312) 329-6500,60654,IL,Chicago,68 W Hubbard St,0,1,1
287,Peet’s Coffee,(312) 475-9782,60622,IL,Chicago,1000 W North Ave,0,1,0
