,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating
4329,4329,1020,1356,B Side Pizza & Wine Bar,(646) 679-7225,10019.0,NY,New York,370 W 51st St,0,1,0,Bann,(212) 582-4446,10019.0,NY,New York,350 W 50th Street,0,0,0
4341,4341,308,455,Benny’s Chop House,(312) 626-2444,60611.0,IL,Chicago,444 N Wabash Ave,0,1,0,P.F. Chang's,(312) 828-9977,60611.0,IL,Chicago,530 N. Wabash Avenue,0,1,0
4463,4463,1562,1000,Bleecker Street Pizza,(212) 924-4466,10014.0,NY,New York,69 7th Ave S,1,1,1,Sushisamba,(212) 691-7885,10014.0,NY,New York,87 7th Avenue South,0,1,1
4564,4564,1469,934,Strip House,(212) 328-0000,10003.0,NY,New York,13 E 12th St,0,0,0,Strip House,(212) 328-0000,10003.0,NY,New York,13 E 12th Street,0,0,0
4584,4584,377,32,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611.0,IL,Chicago,1024 N Rush St,0,1,1,Gibsons Bar & Steakhouse,(312) 266-8999,60611.0,IL,Chicago,1028 N Rush Street,0,1,1
4588,4588,293,32,Gibsons Bar & Steakhouse,(312) 266-8999,60611.0,IL,Chicago,1028 N Rush St,0,1,1,Gibsons Bar & Steakhouse,(312) 266-8999,60611.0,IL,Chicago,1028 N Rush Street,0,1,1
4610,4610,603,32,Nico Osteria,(312) 994-7100,60611.0,IL,Chicago,1015 N Rush St,0,0,1,Gibsons Bar & Steakhouse,(312) 266-8999,60611.0,IL,Chicago,1028 N Rush Street,0,1,1
4618,4618,721,32,Friends Sushi,(312) 787-8998,60611.0,IL,Chicago,710 N Rush St,1,1,1,Gibsons Bar & Steakhouse,(312) 266-8999,60611.0,IL,Chicago,1028 N Rush Street,0,1,1
4644,4644,148,619,Chilango Mexican Street Food,(312) 846-6216,60607.0,IL,Chicago,1437 W Taylor St,1,1,0,Chicago's Busy Burger,(312) 226-7760,60607.0,IL,Chicago,1120 W Taylor Street,0,1,1
4671,4671,313,619,The Publican,(312) 733-9555,60607.0,IL,Chicago,837 W Fulton Market,0,0,1,Chicago's Busy Burger,(312) 226-7760,60607.0,IL,Chicago,1120 W Taylor Street,0,1,1
4798,4798,2092,3302,The Hi Spot Cafe,(206) 325-7905,98122.0,WA,Seattle,1410 34th Ave,0,1,1,Oddfellows Cafe & Bar,(206) 325-0807,98122.0,WA,Seattle,1525 10th Avenue,0,0,1
4809,4809,2351,3302,Oddfellows Cafe & Bar,(206) 325-0807,98122.0,WA,Seattle,1525 10th Ave,0,1,1,Oddfellows Cafe & Bar,(206) 325-0807,98122.0,WA,Seattle,1525 10th Avenue,0,0,1
4859,4859,1791,3302,Stumptown Coffee Roasters,(206) 323-1544,98122.0,WA,Seattle,1115 12th Ave,0,1,1,Oddfellows Cafe & Bar,(206) 325-0807,98122.0,WA,Seattle,1525 10th Avenue,0,0,1
5285,5285,2822,1535,Sotto Mare,(415) 398-3181,94133.0,CA,San Francisco,552 Green St,0,1,1,Sotto Mare,(415) 398-3181,94133.0,CA,San Francisco,552 Green Street,0,1,1
5332,5332,571,706,Mama Milano’s Pizza Bar,(312) 787-3710,60610.0,IL,Chicago,1419 N Wells St,1,1,1,Dinotto Pizza E Vino,(312) 202-0302,60610.0,IL,Chicago,1551 N Wells Street,1,1,1
5396,5396,47,135,Fogo de Chão Brazilian Steakhouse,(312) 932-9330,60654.0,IL,Chicago,661 N Lasalle Blvd,0,0,0,Pops For Champagne,(312) 266-7677,60654.0,IL,Chicago,601 N. State Street,0,1,1
5428,5428,418,135,Roy’s - Chicago,(312) 787-7599,60654.0,IL,Chicago,720 N State St,0,0,1,Pops For Champagne,(312) 266-7677,60654.0,IL,Chicago,601 N. State Street,0,1,1
5441,5441,428,135,Roka Akor - Chicago,(312) 477-7652,60654.0,IL,Chicago,456 N Clark St,0,1,1,Pops For Champagne,(312) 266-7677,60654.0,IL,Chicago,601 N. State Street,0,1,1
5464,5464,758,135,Tortoise Supper Club,(312) 755-1700,60654.0,IL,Chicago,350 N State St,0,1,1,Pops For Champagne,(312) 266-7677,60654.0,IL,Chicago,601 N. State Street,0,1,1
5509,5509,279,633,Headquarters Beercade Lakeview,(773) 665-5660,60657.0,IL,Chicago,2833 N. Sheffield,0,0,0,Rocks Lakeview,(773) 472-0493,60657.0,IL,Chicago,3463 N. Broadway Street,1,1,1
5597,5597,2754,2051,Udupi Palace,(415) 970-8000,94110.0,CA,San Francisco,1007 Valencia St,1,1,0,Udupi Palace,(415) 970-8000,94110.0,CA,San Francisco,1007 Valencia Street,0,1,0
5664,5664,3069,2051,AL’s Place,(415) 416-6136,94110.0,CA,San Francisco,1499 Valencia st,0,0,0,Udupi Palace,(415) 970-8000,94110.0,CA,San Francisco,1007 Valencia Street,0,1,0
5746,5746,3026,2119,Jackson Place Cafe,(415) 225-4891,94111.0,CA,San Francisco,633 Battery St,0,1,1,Parlor 1255,(415) 249-0802,94111.0,CA,San Francisco,1255 Battery Street,1,1,0
5795,5795,414,434,Lockdown Bar &  Grill,(773) 451-5625,60622.0,IL,Chicago,1024 N Western Ave,1,1,1,Lockdown Bar & Grill,(773) 451-5625,60622.0,IL,Chicago,1024 N. Western Avenue,0,1,1
5805,5805,544,434,AMK Kitchen Bar,(773) 276-4400,60622.0,IL,Chicago,1954 W Armitage,0,1,0,Lockdown Bar & Grill,(773) 451-5625,60622.0,IL,Chicago,1024 N. Western Avenue,0,1,1
5818,5818,640,434,Happy Village,(773) 486-1512,60622.0,IL,Chicago,1059 N Wolcott Ave,0,0,1,Lockdown Bar & Grill,(773) 451-5625,60622.0,IL,Chicago,1024 N. Western Avenue,0,1,1
5919,5919,2358,3394,Pie Bar Ballard,(206) 535-8489,98107.0,WA,Seattle,2218 NW Market St,0,1,0,Monkey Bridge,(206) 297-6048,98107.0,WA,Seattle,1723 NW Market Street,0,1,0
5987,5987,557,71,Coast Sushi Bar,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Ave,1,1,0,Coast Sushi,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Avenue,1,1,0
5988,5988,577,71,Cozy Corner Restaurant & Pancake House,(773) 276-2215,60647.0,IL,Chicago,2294 N Milwaukee Ave,0,1,0,Coast Sushi,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Avenue,1,1,0
5990,5990,591,71,Toast,(773) 772-5600,60647.0,IL,Chicago,2046 N Damen Ave,0,1,1,Coast Sushi,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Avenue,1,1,0
5994,5994,633,71,Cafe Con Leche,(773) 289-4274,60647.0,IL,Chicago,2714 N Milwaukee Ave,1,1,1,Coast Sushi,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Avenue,1,1,0
6004,6004,689,71,Belly Shack,(773) 252-1414,60647.0,IL,Chicago,1912 N Western Ave,1,1,0,Coast Sushi,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Avenue,1,1,0
6431,6431,2311,3296,Oliver’s Twist,(206) 706-6673,98103.0,WA,Seattle,6822 Greenwood Ave N,0,0,0,Molly Moon's,(206) 547-5105,98103.0,WA,Seattle,1622 1/2 North 45th Street,0,1,1
6527,6527,1132,964,Raoul’s Restaurant,(212) 966-3518,10012.0,NY,New York,180 Prince St,0,0,0,Raoul's,(212) 966-3518,10012.0,NY,New York,180 Prince Street,0,0,0
6885,6885,2425,1775,Anchor Oyster Bar,(415) 431-3990,94114.0,CA,San Francisco,579 Castro St,0,1,0,Kasa Indian Eatery,(415) 621-6940,94114.0,CA,San Francisco,4001 18th Street,1,1,1
6916,6916,2905,1775,Marcello’s Pizza,(415) 863-3900,94114.0,CA,San Francisco,420 Castro St,1,1,1,Kasa Indian Eatery,(415) 621-6940,94114.0,CA,San Francisco,4001 18th Street,1,1,1
6936,6936,3061,1775,Eureka Restaurant & Lounge,(415) 431-6000,94114.0,CA,San Francisco,4063 18th St,0,1,0,Kasa Indian Eatery,(415) 621-6940,94114.0,CA,San Francisco,4001 18th Street,1,1,1
7022,7022,2779,1781,Universal Cafe,(415) 821-4608,94110.0,CA,San Francisco,2814 19th St,0,1,1,Universal Cafe,(415) 821-4608,94110.0,CA,San Francisco,2814 19th Street,0,1,1
7025,7025,2832,1781,Mission Pie,(415) 282-1500,94110.0,CA,San Francisco,2901 Mission St,0,1,0,Universal Cafe,(415) 821-4608,94110.0,CA,San Francisco,2814 19th Street,0,1,1
7034,7034,2930,1781,Dynamo Donut & Coffee,(415) 920-1978,94110.0,CA,San Francisco,2760 24th St,0,1,1,Universal Cafe,(415) 821-4608,94110.0,CA,San Francisco,2814 19th Street,0,1,1
7050,7050,3047,1781,Atlas Cafe,(415) 648-1047,94110.0,CA,San Francisco,3049 20th St,0,1,1,Universal Cafe,(415) 821-4608,94110.0,CA,San Francisco,2814 19th Street,0,1,1
7054,7054,3068,1781,Salumeria,(415) 471-2998,94110.0,CA,San Francisco,3000 20th St,0,1,1,Universal Cafe,(415) 821-4608,94110.0,CA,San Francisco,2814 19th Street,0,1,1
7100,7100,3001,2085,Stella Pastry & Cafe,(415) 986-2914,94133.0,CA,San Francisco,446 Columbus Ave,0,1,0,Panta Rei,(415) 591-0900,94133.0,CA,San Francisco,431 Columbus Avenue,0,1,1
7124,7124,2582,2085,Italian Homemade Company,(415) 712-8874,94133.0,CA,San Francisco,716 Columbus Ave,0,1,1,Panta Rei,(415) 591-0900,94133.0,CA,San Francisco,431 Columbus Avenue,0,1,1
7154,7154,2491,2063,El Farolito,(415) 824-7877,94110.0,CA,San Francisco,2779 Mission St,0,1,0,El Techo de Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,0,1
7156,7156,2507,2063,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission St,0,0,0,El Techo de Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,0,1
7162,7162,2640,2063,La Taqueria,(415) 285-7117,94110.0,CA,San Francisco,2889 Mission St,0,1,1,El Techo de Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,0,1
7163,7163,2659,2063,Taqueria Cancún,(415) 252-9560,94110.0,CA,San Francisco,2288 Mission St,0,1,0,El Techo de Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,0,1
7169,7169,2764,2063,El Techo,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission St,0,1,1,El Techo de Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,0,1
7183,7183,3048,2063,La Santaneca,(415) 648-1034,94110.0,CA,San Francisco,3781 Mission St,0,1,0,El Techo de Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,0,1
7223,7223,2666,2227,Tortas Los Picudos,(415) 824-4199,94110.0,CA,San Francisco,2969 24th St,0,1,0,Pig and Pie,(415) 401-8770,94110.0,CA,San Francisco,2962 24th Street,0,1,0
7232,7232,2892,2227,Trick Dog,(415) 471-2999,94110.0,CA,San Francisco,3010 20th St,0,0,0,Pig and Pie,(415) 401-8770,94110.0,CA,San Francisco,2962 24th Street,0,1,0
7247,7247,3047,2227,Atlas Cafe,(415) 648-1047,94110.0,CA,San Francisco,3049 20th St,0,1,1,Pig and Pie,(415) 401-8770,94110.0,CA,San Francisco,2962 24th Street,0,1,0
7321,7321,3061,2308,Eureka Restaurant & Lounge,(415) 431-6000,94114.0,CA,San Francisco,4063 18th St,0,1,0,Le Zinc,(415) 647-9400,94114.0,CA,San Francisco,4063 24th Street,0,0,1
7703,7703,1578,1338,Rustic Table,(212) 244-0744,10036.0,NY,New York,504 W 42nd St,1,1,0,Dafni Greek Taverna,(212) 315-1010,10036.0,NY,New York,325 West 42nd Street,1,1,0
7830,7830,254,497,Kuma’s Corner,(773) 604-8769,60618.0,IL,Chicago,2900 W Belmont Ave,0,1,1,Victory's Banner,(773) 665-0227,60618.0,IL,Chicago,2100 W. Roscoe Street,0,1,1
7832,7832,320,497,Victory’s Banner,(773) 665-0227,60618.0,IL,Chicago,2100 W Roscoe St,0,1,1,Victory's Banner,(773) 665-0227,60618.0,IL,Chicago,2100 W. Roscoe Street,0,1,1
8265,8265,328,3246,Antique Taco,(773) 687-8697,60622.0,IL,Chicago,1360 N Milwaukee Ave,0,1,1,Antique Taco,(773) 687-8697,60622.0,IL,Chicago,1360 N. Milwaukee Avenue,0,1,0
8700,8700,954,727,Blue Ribbon Brasserie,(212) 274-0404,10012.0,NY,New York,97 Sullivan St,0,0,0,Balthazar,(212) 965-1414,10012.0,NY,New York,80 Spring Street,0,1,0
8712,8712,1267,727,Balthazar Restaurant,(212) 965-1414,10012.0,NY,New York,80 Spring St,0,1,0,Balthazar,(212) 965-1414,10012.0,NY,New York,80 Spring Street,0,1,0
8713,8713,1301,727,Blue Ribbon Sushi,(212) 343-0404,10012.0,NY,New York,119 Sullivan St,0,1,0,Balthazar,(212) 965-1414,10012.0,NY,New York,80 Spring Street,0,1,0
8717,8717,1260,727,Red Bamboo,(212) 260-1212,10012.0,NY,New York,140 W 4th St,1,1,0,Balthazar,(212) 965-1414,10012.0,NY,New York,80 Spring Street,0,1,0
8732,8732,2893,2350,Hog Island Oyster Co,(415) 391-7117,94111.0,CA,San Francisco,1 Ferry Bldg,0,0,1,Frog Hollow Farm,(415) 445-0990,94111.0,CA,San Francisco,Ferry Building,0,0,0
8745,8745,2591,2353,Chez Maman,(415) 655-9542,94107.0,CA,San Francisco,1401 18th St,0,1,1,Iron Cactus,(415) 777-1004,94107.0,CA,Los Angeles,683 4th Street San Francisco,1,0,1
8986,8986,2595,2136,La Folie,(415) 776-5577,94109.0,CA,San Francisco,2316 Polk St,0,0,0,Sakana,(415) 775-7644,94109.0,CA,San Francisco,639 Post Street,0,1,0
8996,8996,2690,2136,Swan Oyster Depot,(415) 673-1101,94109.0,CA,San Francisco,1517 Polk St,0,1,0,Sakana,(415) 775-7644,94109.0,CA,San Francisco,639 Post Street,0,1,0
9091,9091,673,3202,Sable,(312) 755-9704,60654.0,IL,Chicago,505 N State St,0,1,1,Sable Kitchen & Bar,(312) 755-9704,60654.0,IL,Chicago,505 N State Street,0,1,0
9136,9136,342,3202,LYFE Kitchen,(312) 836-5933,60654.0,IL,Chicago,413 North Clark St,0,1,1,Sable Kitchen & Bar,(312) 755-9704,60654.0,IL,Chicago,505 N State Street,0,1,0
9198,9198,1897,3328,Tango,(206) 583-0382,98101.0,WA,Seattle,1100 Pike St,0,1,0,Tango,(206) 583-0382,98101.0,WA,Seattle,1100 Pike Street,0,0,0
9371,9371,942,1215,Aquagrill,(212) 274-0505,10012.0,NY,New York,210 Spring Street,0,1,1,Arturo's,(212) 677-3820,10012.0,NY,New York,106 W Houston Street,1,1,1
