id,Name,Phone,Zipcode,State,City,Address,Delivery,Takeout,Outdoor_seating
55,Heaven on Seven,(312) 263-6443,60602,IL,Chicago,111 N Wabash Avenue Garland Building,0,1,0
56,Au Cheval,(312) 929-4580,60607,IL,Chicago,800 W Randolph Street,0,0,1
57,The Bongo Room,(773) 489-0690,60622,IL,Chicago,1470 N Milwaukee Avenue,0,1,0
58,Manny's Cafeteria & Delicatessen,(312) 939-2855,60607,IL,Chicago,1141 S Jefferson Street,0,1,0
59,Gene & Georgetti,(312) 527-3718,60654,IL,Chicago,500 N Franklin Street,0,1,0
60,The Berghoff,(312) 427-3170,60603,IL,Chicago,17 W Adams Street,0,1,0
61,Yolk,(312) 822-9655,60611,IL,Chicago,355 E Ohio Street,0,1,1
62,Gene & Jude's Red Hot Stand,(708) 452-7634,60171,IL,River Grove,2720 River Road,0,1,0
63,Slurping Turtle,(312) 464-0466,60654,IL,Chicago,116 West Hubbard Street,1,1,1
64,Mia Francesca,(773) 281-3310,60657,IL,Chicago,3311 North Clark Street,0,1,0
65,Revolution Brewing,(773) 227-2739,60647,IL,Chicago,2323 N Milwaukee Avenue,0,1,0
66,Urbanbelly,(773) 583-0500,60607,IL,Chicago,1400 W Randolph Street,0,1,1
67,M. Henry,(773) 561-1600,60660,IL,Chicago,5707 N Clark Street,0,1,0
68,Pizano's Pizza & Pasta,(312) 236-1777,60603,IL,Chicago,61 E Madison Street,0,1,1
69,Hugo's Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush Street,0,1,1
70,Pizzeria Due,(312) 943-2400,60611,IL,Chicago,619 N Wabash Avenue,1,1,0
71,Coast Sushi,(773) 235-5775,60647,IL,Chicago,2045 N Damen Avenue,1,1,0
72,Lou Mitchell's,(312) 939-3111,60661,IL,Chicago,565 W Jackson Boulevard,0,1,1
73,Le Colonial,(312) 255-0088,60611,IL,Chicago,937 N Rush Street,0,1,1
74,Sultan's Market,(773) 235-3072,60647,IL,Chicago,2057 W North Avenue,1,1,0
75,Wildfire,(312) 787-9000,60654,IL,Chicago,159 Wine Erie Street,1,1,0
76,Uncommon Ground,(773) 929-3680,60613,IL,Chicago,3800 N Clark Street,0,1,1
77,The Bongo Room,(312) 291-0100,60605,IL,Chicago,1152 S Wabash Avenue,0,1,0
78,Twin Anchors,(312) 266-1616,60614,IL,Chicago,1655 N. Sedgwick Street,0,1,1
79,Smoke Daddy,(773) 772-6656,60622,IL,Chicago,1804 W. Division Street,1,1,1
80,Crisp,(877) 693-8653,60657,IL,Chicago,2940 N Broadway Street,1,1,0
81,Carmine's,(312) 988-7676,60611,IL,Chicago,1043 N Rush Street,0,1,1
82,Bavette's Bar and Boeuf,(312) 624-8154,60654,IL,Chicago,218 West Kinzie Street,0,0,1
83,Miller's Pub,(312) 263-4988,60603,IL,Chicago,134 S Wabash Avenue,0,1,0
84,Uncle Julio's,(312) 266-4222,60622,IL,Chicago,855 W North Avenue,0,1,1
85,Molly's Cupcakes,(773) 883-7220,60614,IL,Chicago,2536 N Clark Street,0,1,0
86,DMK Burger Bar,(773) 360-8686,60657,IL,Chicago,2954 N Sheffield Avenue,0,1,0
87,Mercadito Chicago,(312) 329-9555,60654,IL,Chicago,108 W Kinzie Street,0,1,0
88,Bien Trucha,(630) 232-2665,60134,IL,Chicago,410 W. State Street,0,1,1
89,Parthenon,(312) 726-2407,60661,IL,Chicago,314 S Halsted Street,1,1,0
90,Sweetwater Tavern and Grille,(312) 698-7111,60601,IL,Chicago,225 N Michigan Avenue,0,1,1
91,Tortas Frontera,(773) 686-6180,60666,IL,Chicago,Terminal 1 O'Hare International Airport,0,1,0
92,Ann Sather,(773) 348-2378,60657,IL,Chicago,909 West Belmont Avenue,0,1,0
93,The Violet Hour,(773) 252-1500,60622,IL,Chicago,1520 N. Damen Avenue,0,0,0
94,Meson Sabika,(630) 983-3000,60540,IL,Chicago,1025 Aurora Avenue,0,1,1
95,Lao Sze Chuan,(312) 326-5040,60616,IL,Chicago,2172 S Archer Avenue,1,1,0
96,GT Fish & Oyster,(312) 929-3501,60654,IL,Chicago,531 N Wells Street,0,1,0
97,The White Chocolate Grill,(630) 505-8300,60563,IL,Chicago,1803 Freedom Drive,0,1,0
98,Al's Cafe & Creamery,(847) 742-1180,60120,IL,Chicago,43 Du Page Court,0,1,1
99,Rose Angelis,(773) 296-0081,60614,IL,Chicago,1314 W. Wrightwood Avenue,0,1,1
100,Spiaggia,(312) 280-2750,60611,IL,Chicago,980 North Michigan Avenue,0,1,0
101,Roy's,(312) 787-7599,60654,IL,Chicago,720 N. State Street,0,1,1
102,Moto,(312) 491-0058,60607,IL,Chicago,945 W. Fulton Market,0,1,0
103,McCormick & Schmick's,(312) 397-9500,60611,IL,Chicago,41 E Chestnut Street,0,1,1
104,Artopolis,(312) 559-9000,60661,IL,Chicago,306 S Halsted Street,0,1,0
105,Scapa,(630) 323-7000,60514,IL,Chicago,1 Walker Avenue,1,1,1
106,Atwood,(312) 368-1900,60602,IL,Chicago,1 W Washington Street,0,1,1
107,Tru,(312) 202-0001,60611,IL,Chicago,676 N. Clair Street,0,1,0
108,Mexique,(312) 850-0288,60622,IL,Chicago,1529 W Chicago Avenue,0,1,1
109,Osteria La Madia,(312) 329-0400,60654,IL,Chicago,59 W Grand Avenue,0,1,0
110,Tweet,(773) 728-5576,60640,IL,Chicago,5020 N Sheridan Road,0,1,0
111,Reza's Restaurant,(773) 561-1898,60640,IL,Chicago,5255 N. Clark Street,1,1,1
112,Epic Burger,(312) 913-1373,60605,IL,Chicago,517 S State Street,0,1,1
113,Cantina Laredo,(312) 955-0014,60654,IL,Chicago,508 North State Street,0,1,0
114,Tamarind,(312) 379-0970,60605,IL,Chicago,614 S Wabash Avenue,1,1,1
115,Pappadeaux Seafood Kitchen,(630) 455-9846,60559,IL,Westmont,921 Pasquinelli Drive,0,1,1
116,Wow Bao,(312) 642-5888,60611,IL,Chicago,835 N Michigan Avenue Level G,0,1,0
117,Del Seoul,(773) 248-4227,60614,IL,Chicago,2568 N Clark Street,1,1,1
118,La Scarola,(312) 243-1740,60654,IL,Chicago,721 W. Grand Avenue,0,1,0
119,Noon-O-Kabab,(773) 279-9309 (773) 279-8899,60625,IL,Chicago,4661 N. Kedzie Avenue,1,1,0
120,Firkin,(847) 367-6168,60048,IL,Libertyville,515 N Milwaukee Avenue,0,1,0
121,Athena,(312) 655-0000,60661,IL,Chicago,212 S Halsted Street,0,1,1
122,The Original Pancake House,(312) 642-7917,60611,IL,Chicago,22 E. Bellevue Place,0,1,0
123,Uncommon Ground,(773) 465-9801,60660,IL,Chicago,1401 W. Devon Avenue,0,1,1
124,Maya Del Sol,(708) 358-9800,60304,IL,Chicago,144 S. Oak Park Avenue,0,1,1
125,Chicago Cut Steakhouse,(312) 329-1800,60654,IL,Chicago,300 N LaSalle Street,0,1,0
126,Mon Ami Gabi,(773) 348-8886,60614,IL,Chicago,2300 N. Lincoln Park West,0,1,1
127,Jam,(773) 292-6011,60647,IL,Chicago,3057 W. Logan Boulevard,0,1,1
128,Table Fifty-Two,(312) 573-4000,60610,IL,Chicago,52 W Elm Street,0,0,1
129,Bistro Campagne,(773) 271-6100,60625,IL,Chicago,4518 N Lincoln Avenue,0,1,1
130,Margie's Candies,(773) 348-0400,60647,IL,Chicago,1960 N Western Avenue,0,1,0
131,Wildberry Pancakes & Cafe,(847) 247-7777,60048,IL,Libertyville,1783 N Milwaukee Avenue,0,1,0
132,Nacional 27,(312) 664-2727,60610,IL,Chicago,325 W Huron Street,1,1,1
133,Sun Wah Bar-B-Q Restaurant,(773) 769-1254,60640,IL,Chicago,5039 N Broadway Street,0,1,0
134,Ras Dashen,(773) 506-9601,60660,IL,Chicago,5846 N Broadway Street,0,1,1
135,Pops For Champagne,(312) 266-7677,60654,IL,Chicago,601 N. State Street,0,1,1
136,Russian Tea Time,(312) 360-0000,60603,IL,Chicago,77 E Adams Street,0,1,0
137,Bourgeois Pig,(773) 883-5282,60614,IL,Chicago,738 W. Fullerton Avenue,1,1,1
138,MingHin Cuisine,(312) 808-1999,60616,IL,Chicago,2168 S Archer Avenue,1,1,0
139,Park Grill,(312) 521-7275,60602,IL,Chicago,11 N Michigan Avenue,0,1,1
140,Devon Seafood Grill,(312) 440-8660,60611,IL,Chicago,39 E Chicago Avenue,0,1,1
141,Bubba Gump Shrimp Co.,(312) 252-4867,60611,IL,Suite131,700 E Grand Avenue,0,1,1
142,Map Room,(773) 252-7636,60647,IL,Chicago,1949 N. Hoyne Avenue,0,0,0
143,NAHA,(312) 321-6242,60654,IL,Chicago,500 N Clark Street,0,0,1
144,Yuzu Sushi and Robata Grill,(312) 666-4100,60622,IL,Chicago,1751 W Chicago Avenue,0,1,1
145,Native Foods Café,(312) 332-6332,60604,IL,Chicago,218 S Clark Street,0,1,0
146,Gilt Bar,(312) 464-9544,60654,IL,Chicago,230 W Kinzie Street,0,0,1
147,NoMI Kitchen,(312) 239-4030,60611,IL,Chicago,7th Floor Park Hyatt,0,1,1
148,Public House,(312) 265-1240,60654,IL,Chicago,400 N State Street,1,1,0
149,Athenian Room,(773) 348-5155,60614,IL,Chicago,807 W Webster Avenue,0,1,1
150,Chicago Brauhaus,(773) 784-4444,60625,IL,Chicago,4732 N Lincoln Avenue,0,1,0
151,Yard House,(847) 729-9273,60025,IL,Chicago,1880 Tower Drive,1,1,1
152,Doughnut Vault,(312) 285-2830,60654,IL,Chicago,402 1/2 N Franklin Street,0,1,0
153,Tank Noodle,(773) 878-2253,60640,IL,Chicago,4953-55 N Broadway Street,0,1,0
154,The Bad Apple,(773) 360-8406,60618,IL,Chicago,4300 N Lincoln Avenue,0,1,1
155,New Rebozo Mexican Restaurant,(708) 445-0370,60302,IL,Oak Park,1116 Madison Street,0,1,1
156,Boka Restaurant & Bar,(312) 337-6070,60614,IL,Chicago,1729 N Halsted Street,0,0,1
157,Village Tavern & Grill,(847) 891-8866,60193,IL,Chicago,901 W Wise Road,0,1,0
158,Bistrot Zinc,(312) 337-1131,60610,IL,Chicago,1131 N State Street,0,1,0
159,Coco Pazzo,(312) 836-0900,60654,IL,Chicago,300 W Hubbard Street,0,1,0
160,Ethiopian Diamond,(773) 338-6100,60660,IL,Chicago,6120 N. Broadway Street,1,1,1
161,Garcia's Restaurant,(773) 769-5600,60625,IL,Chicago,4760 N Lincoln Ave,0,1,0
162,Elephant & Castle - Central Loop Hotel,(312) 236-6656,60603,IL,Chicago,111 W Adams Street Central Loop Hotel,0,1,1
163,Uncle Julio's,(630) 396-3124,60148,IL,Lombard,2360 Fountain Square Drive,0,1,1
164,Gibsons Bar & Steakhouse,(847) 928-9900,60018,IL,Rosemont,5464 N River Road,0,1,0
165,Cafe Spiaggia,(312) 280-2750,60611,IL,Suite 2,980 N Michigan Avenue,0,1,0
166,Hackney's,(312) 461-1116,60605,IL,Chicago,733 S Dearborn Street,1,1,1
167,Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 North Ashland Avenue,1,1,0
168,Timothy O'Toole's,(312) 642-0700,60611,IL,Chicago,622 N Fairbanks Court,1,1,0
169,Petterino's,(312) 422-0150,60601,IL,Chicago,150 N Dearborn Street,0,1,0
170,Tre Kronor,(773) 267-9888,60625,IL,Chicago,3258 W. Foster Avenue,0,1,1
171,Foodlife,(312) 335-3663,60611,IL,Chicago,835 N Michigan Avenue,0,1,0
172,Maggiano's,(312) 644-7700,60654,IL,Chicago,516 N Clark Street,0,1,1
173,Cafe Selmarie,(773) 989-5595,60625,IL,Chicago,4729 N Lincoln Avenue,0,1,1
174,Geja's Cafe,(773) 281-9101,60614,IL,Chicago,340 W Armitage Avenue,0,1,0
175,Frontier,(773) 772-4322,60642,IL,Chicago,1072 N Milwaukee Avenue,0,1,1
176,Old Town Social,(312) 266-2277,60610,IL,Chicago,455 W. North Avenue,0,1,1
177,Handlebar,(773) 384-9546,60647,IL,Chicago,2311 W North Avenue,0,1,1
178,Firecakes,(312) 329-6500,60654,IL,Chicago,68 West Hubbard Street,1,1,1
179,Mt. Everest Restaurant,(847) 491-1069,60201,IL,Chicago,630 Church Street,1,1,0
180,Al Bawadi Restaurant,(708) 599-1999,60455,IL,Chicago,7216 W 87th Street,0,1,0
181,Next,(312) 226-0858,60607,IL,Chicago,953 West Fulton Market,0,0,0
182,Shake Shack,(312) 667-1701,60611,IL,Chicago,66 E Ohio Street,0,1,1
183,Ay Ay Picante,(773) 427-4239,60630,IL,Chicago,4569 N. Elston Avenue,0,1,0
184,BD's Mongolian Grill,(630) 428-0300,60540,IL,Naperville,221 S. Washington Street,0,1,0
185,P.F. Chang's,(630) 652-9977,60148,IL,Lombard,2361 Fountain Square Drive,0,1,0
186,Shaw's Crab House,(847) 517-2722,60173,IL,Chicago,1900 E Higgins Road,0,1,1
187,Nookies,(312) 337-2454,60614,IL,Chicago,1746 N. Wells Street,0,1,1
188,BellyQ,(312) 563-1010,60607,IL,Chicago,1400 W Randolph Street,0,1,0
189,Sabatino's Restaurant and Lounge,(773) 283-8331,60641,IL,Chicago,4441 W Irving Park Road,0,1,1
190,Uncle Bub's,(630) 493-9000,60559,IL,Westmont,132 S. Cass Avenue,0,1,0
191,Naf Naf Grill,(630) 904-7200,60563,IL,Chicago,1739 Freedom Drive Unit 109,0,1,0
192,Over Easy Cafe,(773) 506-2605,60625,IL,Chicago,4943 N. Damen Avenue,0,1,0
193,Sweet Maple Cafe,(312) 243-8908,60607,IL,Chicago,1339 W. Taylor Street,0,1,0
194,Summer House Santa Monica,(773) 634-4100,60614,IL,Chicago,1954 N Halsted Street,0,1,1
195,Ghirardelli Chocolate Shop,(312) 337-9330,60611,IL,Chicago,830 N Michigan Avenue,0,1,1
196,Buffalo Joe's,(847) 328-5525,60201,IL,Chicago,812 Clark Street,0,1,0
197,Toro Sushi,(773) 348-4877,60614,IL,Chicago,2546 N Clark Street,1,1,0
198,Cumin,(773) 342-1414,60622,IL,Chicago,1414 N Milwaukee Avenue,1,1,0
199,Buddy Guy's Legends,(312) 427-1190,60605,IL,Chicago,700 S Wabash Avenue,1,1,1
200,Chi Tung Restaurant,(708) 636-8180,60805,IL,Chicago,9560 S. Kedzie Avenue Evergreen Park,1,1,0
201,Milk and Honey Cafe,(773) 395-9434,60622,IL,Chicago,1920 W. Division Street,0,1,1
202,Sixteen,(312) 588-8001,60611,IL,Chicago,401 North Wabash Avenue,0,1,0
203,Ramen Takeya,(312) 666-7710,60607,IL,Chicago,819 W. Fulton Market,0,1,0
204,Tufano's Vernon Park Tap,(312) 733-3393,60607,IL,Chicago,1073 W Vernon Park Plaza,0,1,1
205,Indian Garden,(312) 280-4910 (630) 605-0247,60611,IL,Chicago,247 E Ontario Street,1,1,0
206,Emilio's Sol Y Nieve,(312) 467-7177,60611,IL,Chicago,215 E Ohio Street,0,1,1
207,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 West Kinzie Street,0,1,1
208,Kinzie Chophouse,(312) 822-0191,60654,IL,Chicago,400 N Wells Street,1,1,1
209,Burger Bar,(312) 255-0055,60642,IL,Chicago,1578 N Clybourn Avenue,0,1,1
210,Club Lucky,(773) 227-2300,60622,IL,Chicago,1824 W. Wabansia Avenue,1,1,1
211,Hugo's Frog Bar & Fish House,(630) 548-3764,60540,IL,Chicago,55 S Main Street,0,1,1
212,Osaka Sushi Express,(312) 566-0118,60605,IL,Chicago,400 S Michigan Avenue,1,1,0
213,Calumet Fisheries,(773) 933-9855,60617,IL,Chicago,3259 E 95th Street,0,1,0
214,Blind Faith Cafe,(847) 328-6875,60201,IL,Evanston,525 Dempster Street,1,1,1
215,Mastro's Steakhouse,(312) 521-5100,60654,IL,Chicago,520 N Dearborn Street,0,1,0
216,Southport Grocery & Cafe,(773) 665-0100,60657,IL,Chicago,3552 North Southport Avenue,1,1,1
217,Owen and Engine,(773) 235-2930,60647,IL,Chicago,2700 N Western Avenue,0,1,0
218,Ted's Montana Grill,(630) 848-2255,60540,IL,Chicago,39 West Jefferson Avenue,0,1,0
219,Howells & Hood,(312) 262-5310,60611,IL,Chicago,435 N. Michigan Avenue,0,1,1
220,Bite Cafe,(773) 395-2483,60622,IL,Chicago,1039 N Western Avenue,0,1,0
221,Kiku Japanese Steakhouse,(630) 305-3355,60540,IL,Chicago,2764 Aurora Avenue,0,1,0
222,Frasca Pizzeria and Wine Bar,(773) 248-5222,60657,IL,Chicago,3358 N. Paulina Street,0,1,1
223,Pizzeria Via Stato,(312) 642-8450,60654,IL,Chicago,620 N State Street,1,1,1
224,Trattoria No. 10,(312) 984-1718,60602,IL,Chicago,10 N Dearborn Street,0,1,0
225,Ramen-san,(312) 377-9950,60654,IL,Chicago,59 West Hubbard Street,0,1,1
226,Boston Fish Market,(847) 803-2100,60018,IL,Des Plaines,1225 Forest Avenue,0,1,0
227,Maude's Liquor Bar,(312) 243-9712,60607,IL,Chicago,840 W Randolph Street,0,0,1
228,Downtown Dogs,(312) 951-5141,60611,IL,Chicago,804 N Rush Street,0,1,1
229,Chuck's Southern Comforts Cafe,(708) 229-8700,60459,IL,Burbank,6501 W. 79th Street,1,1,1
230,L. WoodsTap & Pine Lodge,(847) 677-3350,60712,IL,Chicago,7110 N. Lincoln Avenue,0,1,0
231,Coalfire,(312) 226-2625,60642,IL,Chicago,1321 W. Grand Avenue,0,1,0
232,Cafe El Tapatio,(773) 327-5475,60657,IL,Chicago,3400 North Ashland Avenue,1,1,1
233,Publican Quality Meats,(312) 445-8977,60607,IL,Chicago,825 W Fulton Market,0,1,0
234,Tuscany,(312) 829-1990,60607,IL,Chicago,1014 W. Taylor Street,1,1,1
235,Toni,(312) 726-2020,60602,IL,Chicago,65 E. Washington Street Pittsfield Building,0,1,1
236,Honky Tonk Barbeque,(312) 226-7427,60608,IL,Chicago,1800 S Racine Avenue,0,1,0
237,Honey Butter Fried Chicken,(773) 478-4000,60618,IL,Chicago,3361 N Elston Avenue,0,1,1
238,The Lucky Monk,(847) 898-0500,60010,IL,Chicago,105 Hollywood Boulevard,0,1,1
239,Bohemian House,(312) 955-0439,60654,IL,Chicago,11 W Illinois Street,0,1,0
240,Opart Thai House,(773) 989-8517,60625,IL,Chicago,4658 N. Western Avenue,1,1,0
241,Bull & Bear,(312) 527-5973,60610,IL,Chicago,431 North Wells Street,0,1,1
242,Sapori Trattoria,(773) 832-9999,60614,IL,Chicago,2701 N Halsted Street,0,1,1
243,South Water Kitchen,(312) 236-9300,60601,IL,Chicago,225 N Wabash Avenue,0,1,0
244,Moody's Pub,(773) 275-2696,60660,IL,Chicago,5910 N Broadway Street,0,1,1
245,Shine,(773) 296-0101,60614,IL,Chicago,756 W. Webster Avenue,0,1,1
246,Gyu-Kaku Japanese BBQ,(312) 266-8929,60611,IL,Chicago,210 E Ohio Street,0,0,1
247,Pump Room,(312) 266-0360,60610,IL,Chicago,1301 N State Parkway Public Chicago Hotel,0,1,0
248,Lucky Platter,(847) 869-4064,60202,IL,Chicago,514 Main Street,0,1,0
249,Bar Takito,(312) 888-9485,60607,IL,Chicago,201 N. Morgan Street,0,1,1
250,Luxbar,(312) 642-3400,60611,IL,Chicago,18 E. Bellevue Street,0,1,1
251,Salsa 17,(847) 590-1122,60005,IL,Chicago,17 W. Campbell Street,0,1,0
252,Union Pizzeria,(847) 475-2400,60202,IL,Chicago,1245 Chicago Avenue,0,1,0
253,Su Casa,(312) 943-4041,60611,IL,Chicago,49 East Ontario Street,1,1,1
254,RA Sushi Bar Restaurant,(312) 274-0011,60610,IL,Chicago,1139 N. State Street,1,1,1
255,McCormick & Schmick's,(312) 923-7226,60601,IL,Chicago,1 E. Upper Wacker Drive,0,1,1
256,Bavarian Lodge,(630) 241-4701,60532,IL,Lisle,1800 Ogden Avenue,0,1,0
257,A Taste of Heaven,(773) 989-0151,60640,IL,Chicago,5401 N Clark Street,0,1,1
258,Hubbard Inn,(312) 222-1331,60654,IL,Chicago,110 W. Hubbard Street,1,1,0
259,Elephant & Castle,(312) 345-1710,60601,IL,Chicago,185 N Wabash Avenue,0,1,1
260,Soupbox,(312) 951-5900,60611,IL,Chicago,50 E. Avenue,0,1,1
261,The Capital Grille,(312) 337-9400,60611,IL,Chicago,633 North Street  Clair Street,0,1,0
262,Vivo,(312) 733-3379,60607,IL,Chicago,838 West Randolph Street,1,1,1
263,La Sorella di Francesca,(630) 961-2706,60540,IL,Chicago,18 W. Jefferson Avenue,0,1,0
264,Kamehachi,(312) 664-3663,60610,IL,Chicago,1531 N. Wells Street,1,1,1
265,Cozy Noodles & Rice,(773) 327-0100,60657,IL,Chicago,3456 N Sheffield Avenue,0,1,1
266,Dell Rhea's Chicken Basket,(630) 325-0780,60527,IL,Willowbrook,645 Joliet Road,0,1,0
267,Bella Bacino's,(312) 263-2350,60601,IL,Chicago,75 E Wacker Drive The River Hotel,1,1,1
268,Pegasus,(312) 226-3377,60661,IL,Chicago,130 S. Halsted Street,1,1,0
269,Big Bowl,(847) 517-8881,60173,IL,Chicago,1950 E Higgins Road,0,1,1
270,Roka Akor,(312) 477-7652,60654,IL,Chicago,456 North Clark Street,0,1,1
271,Prairie Moon,(847) 864-8328,60201,IL,Chicago,1502 Sherman Avenue,0,1,1
272,Pierrot Gourmet - The Peninsula,(312) 573-6749,60611,IL,Chicago,108 E Superior Street,0,1,1
273,North Pond,(773) 477-5845,60614,IL,Chicago,2610 N. Cannon Drive,0,1,0
274,Perennial Virant - Hotel Lincoln,(312) 981-7070,60614,IL,Chicago,1800 N Lincoln Avenue,0,0,1
275,Farmhouse,(312) 280-4960,60654,IL,Chicago,228 W. Chicago Avenue,0,1,1
276,Reza's Restaurant,(630) 424-9900,60523,IL,Oakbrook,40 N Tower Road,1,1,1
277,Vito & Nick's Pizzeria,(773) 735-2050,60652,IL,Chicago,8433 S. Pulaski Road,0,1,0
278,Pick Me Up Cafe,(773) 248-6613,60657,IL,Chicago,3408 N. Clark Street,0,1,0
279,Totopos,(630) 637-0418,60540,IL,Chicago,2048 Aurora Avenue,0,1,1
280,RoSal's,(312) 243-2357,60607,IL,Chicago,1154 W. Taylor Street,0,1,0
281,La Tasca Restaurant,(847) 398-2400,60005,IL,Chicago,25 W. Davis Street,0,1,1
282,Sayat-Nova,(312) 644-9159,60611,IL,Chicago,157 E. Ohio Street,0,1,1
283,Gale Street Inn,(773) 725-1300,60630,IL,Chicago,4914 N Milwaukee Avenue,1,1,0
284,Saigon Sisters,(312) 496-0090,60661,IL,Chicago,567 W Lake Street,1,1,0
285,Seasons 52,(847) 517-5252,60173,IL,Chicago,1770 E. Higgins Road,0,1,0
