,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label,predicted,restaurant_name,phone,zipcode,state,city,address,delivery,takeout,outdoor_seating
118,Tru,(312) 202-0001,60611,IL,Chicago,676 N Saint Clair St,0,0,0,Tru,(312) 202-0001,60611,IL,Chicago,676 N. Clair Street,0,1,0,1,1,,,,,,,,,
819,Jardinière,(415) 861-5555,94102,CA,San Francisco,300 Grove St,0,0,0,Jardiniere,(415) 861-5555,94102,CA,San Francisco,300 Grove Street,0,0,0,1,1,,,,,,,,,
632,Amélie,(415) 292-6916,94109,CA,San Francisco,1754 Polk St,0,0,0,Amelie,(415) 292-6916,94109,CA,San Francisco,1754 Polk Street,0,0,0,1,1,,,,,,,,,
121,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission St,0,1,0,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission District Street,0,1,1,1,1,,,,,,,,,
125,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Ave,0,0,0,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Avenue,0,0,0,1,1,,,,,,,,,
638,Fatso’s Last Stand,(773) 245-3287,60622,IL,Chicago,2258 W Chicago Ave,1,1,1,Fatso's Last Stand,(773) 245-3287,60622,IL,Chicago,2258 W. Chicago Avenue,1,1,1,1,1,,,,,,,,,
127,Joe’s Seafood,(312) 379-5637,60611,IL,Chicago,60 E Grand Ave,1,1,0,Joe's Seafood,(312) 379-5637,60611,IL,Chicago,60 E Grand Avenue,1,1,0,1,1,,,,,,,,,
129,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Ave,0,1,0,Stella Pastry & Cafe,(415) 986-2914,94133,CA,San Francisco,446 Columbus Avenue,0,0,0,1,1,,,,,,,,,
643,Pearl’s Deluxe Burgers,(415) 409-6120,94109,CA,San Francisco,708 Post St,0,1,0,Pearl's Deluxe Burgers,(415) 409-6120,94109,CA,San Francisco,708 Post Street,0,1,0,1,1,,,,,,,,,
1006,Roy’s - Chicago,(312) 787-7599,60654,IL,Chicago,720 N State St,0,0,1,Roy's,(312) 787-7599,60654,IL,Chicago,720 N. State Street,0,1,1,1,1,,,,,,,,,
134,Wasabi,(773) 227-8180,60647,IL,Chicago,2115 N Milwaukee Ave,0,1,1,Wasabi,(773) 227-8180,60647,IL,Chicago,2115 N Milwaukee Avenue,0,1,0,1,1,,,,,,,,,
649,Chicago Pizza And Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark St,0,1,0,Chicago Pizza & Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark Street,0,1,0,1,1,,,,,,,,,
141,Fat Rice,(773) 661-9170,60647,IL,Chicago,2957 W Diversey Ave,0,0,1,Fat Rice,(773) 661-9170,60647,IL,Chicago,2957 W Diversey Avenue,0,1,0,1,1,,,,,,,,,
654,Musashi’s,(206) 633-0212,98103,WA,Seattle,1400 N 45th St,0,1,0,Musashi's,(206) 633-0212,98103,WA,Seattle,1400 N 45th Street,0,1,0,1,1,,,,,,,,,
143,Umi Sake House,(206) 374-8717,98121,WA,Seattle,2230 1st Ave,0,1,0,Umi Sake House,(206) 374-8717,98121,WA,Seattle,2230 1st Avenue,0,1,0,1,1,,,,,,,,,
656,Sweet Maple Cafe,(312) 243-8908,60607,IL,Chicago,1339 W Taylor St,0,1,0,Sweet Maple Cafe,(312) 243-8908,60607,IL,Chicago,1339 W. Taylor Street,0,1,0,1,1,,,,,,,,,
658,Aquagrill,(212) 274-0505,10012,NY,New York,210 Spring Street,0,1,1,Aquagrill,(212) 274-0505,10012,NY,New York,210 Spring Street,0,1,1,1,1,,,,,,,,,
789,Native Foods Cafe,(773) 489-8480,60622,IL,Chicago,1484 N Milwaukee Ave,0,1,1,Native Foods Café,(773) 489-8480,60622,IL,Chicago,1484 N Milwaukee Avenue,1,1,1,1,1,,,,,,,,,
661,Zazie,(415) 564-5332,94117,CA,San Francisco,941 Cole St,0,1,1,Zazie,(415) 564-5332,94117,CA,San Francisco,941 Cole Street,0,1,1,1,1,,,,,,,,,
150,Hillstone Restaurant,(212) 689-1090,10010,NY,New York,378 Park Ave S,0,0,0,Hillstone,(212) 689-1090,10010,NY,New York,378 Park Avenue S,0,0,0,1,1,,,,,,,,,
663,Beatrix River North,(312) 284-1377,60654,IL,Chicago,519 North Clark Street,0,1,1,Beatrix,(312) 284-1377,60654,IL,Chicago,519 N Clark Street,0,1,1,1,1,,,,,,,,,
664,Leopold’s,(415) 474-2000,94109,CA,San Francisco,2400 Polk St,0,0,0,Leopold's,(415) 474-2000,94109,CA,San Francisco,2400 Polk Street,0,0,0,1,1,,,,,,,,,
153,Eight AM,(415) 292-4888,94133,CA,San Francisco,1323 Columbus Ave,0,1,1,Eight AM,(415) 292-4888,94133,CA,San Francisco,1323 Columbus Avenue,0,1,1,1,1,,,,,,,,,
666,re:public,(206) 467-5300,98109,WA,Seattle,429 Westlake Ave N,0,1,1,Re:public Restaurant & Bar,(206) 467-5300,98109,WA,Seattle,429 Westlake Avenue North,0,1,1,1,1,,,,,,,,,
155,Clinton Street Baking Company,(646) 602-6263,10002,NY,New York,4 Clinton St,1,1,0,Clinton Street Baking Company,(646) 602-6263,10002,NY,New York,4 Clinton Street,1,1,0,1,1,,,,,,,,,
156,Banh Mi Saigon,(212) 941-1541,10013,NY,New York,198 Grand St,1,1,0,Banh Mi Saigon,(212) 941-1541,10013,NY,New York,198 Grand Street,1,1,0,1,1,,,,,,,,,
157,Buvette,(212) 255-3590,10014,NY,New York,42 Grove St,0,0,1,Buvette,(212) 255-3590,10014,NY,New York,42 Grove Street,0,0,0,1,1,,,,,,,,,
160,Pylos,(212) 473-0220,10009,NY,New York,128 E 7th St,0,1,0,Pylos,(212) 473-0220,10009,NY,New York,128 E 7th Street,0,1,0,1,1,,,,,,,,,
674,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N Milwaukee Ave,0,1,1,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N. Milwaukee Avenue,0,1,1,1,1,,,,,,,,,
678,Mindy’s Hot Chocolate,(773) 489-1747,60647,IL,Chicago,1747 N Damen Ave,0,1,0,Mindy's Hot Chocolate,(773) 489-1747,60647,IL,Chicago,1747 N Damen Avenue,0,1,0,1,1,,,,,,,,,
167,Dynamo Donut & Coffee,(415) 920-1978,94110,CA,San Francisco,2760 24th St,0,1,1,Dynamo Donuts & Coffee,(415) 920-1978,94110,CA,San Francisco,2760 24th Street,0,1,0,1,1,,,,,,,,,
169,Stumptown Coffee Roasters,(206) 323-1544,98122,WA,Seattle,1115 12th Ave,0,1,1,Stumptown Coffee Roasters,(206) 323-1544,98122,WA,Seattle,1115 12th Avenue,0,0,0,1,1,,,,,,,,,
171,LYFE Kitchen,(312) 836-5933,60654,IL,Chicago,413 North Clark St,0,1,1,Lyfe Kitchen,(312) 836-5933,60654,IL,Chicago,419 North Clark Street,0,1,1,1,1,,,,,,,,,
685,Cafe Golo,(415) 673-4656,94123,CA,San Francisco,1602 Lombard St,0,1,0,Cafe Golo,(415) 673-4656,94123,CA,San Francisco,1602 Lombard Street,0,1,0,1,1,,,,,,,,,
687,La Mediterranee,(415) 921-2956,94115,CA,San Francisco,2210 Fillmore St,1,1,1,La Mediterranee,(415) 921-2956,94115,CA,San Francisco,2210 Fillmore Street,1,1,1,1,1,,,,,,,,,
690,The Monk’s Kettle,(415) 865-9523,94103,CA,San Francisco,3141 16th St,0,1,1,Monk's Kettle,(415) 865-9523,94103,CA,San Francisco,3141 16th Street,0,0,1,1,1,,,,,,,,,
179,Perennial Virant,(312) 981-7070,60614,IL,Chicago,1800 N Lincoln Ave,0,1,1,Perennial Virant - Hotel Lincoln,(312) 981-7070,60614,IL,Chicago,1800 N Lincoln Avenue,0,0,1,1,1,,,,,,,,,
181,1760,(415) 359-1212,94109,CA,San Francisco,1760 Polk St,0,0,0,1760,(415) 359-1212,94109,CA,San Francisco,1760 Polk Street,0,0,0,1,1,,,,,,,,,
696,Mandalay,(415) 386-3896,94118,CA,San Francisco,4348 California St,0,1,0,Mandalay,(415) 386-3895,94118,CA,San Francisco,4348 California Street,0,1,0,1,1,,,,,,,,,
1063,Fino Ristorante & Bar,(415) 928-2080,94109,CA,San Francisco,624 Post St,0,0,0,Fino,(415) 928-2080,94109,CA,San Francisco,624 Post Street,0,0,0,1,1,,,,,,,,,
187,Alta,(212) 505-7777,10011,NY,New York,64 W 10th St,0,0,0,Alta,(212) 505-7777,10011,NY,New York,64 W 10th Street,0,0,0,1,1,,,,,,,,,
700,Delfina,(415) 552-4055,94110,CA,San Francisco,3621 18th St,0,1,0,Delfina,(415) 552-4055,94110,CA,San Francisco,3621 18th Street,0,1,1,1,1,,,,,,,,,
995,Eleven Madison Park,(212) 889-0905,10010,NY,New York,11 Madison Ave,0,0,0,Eleven Madison Park,(212) 889-0905,10010,NY,New York,11 Madison Avenue,0,0,0,1,1,,,,,,,,,
704,The Saint,(206) 323-9922,98122,WA,Seattle,1416 E Olive Way,0,1,0,The Saint,(206) 323-9922,98122,WA,Seattle,1416 East Olive Way,0,0,0,1,1,,,,,,,,,
193,Geja’s Cafe,(773) 281-9101,60614,IL,Chicago,340 W Armitage Ave,1,1,0,Geja's Cafe,(773) 281-9101,60614,IL,Chicago,340 W Armitage Avenue,0,1,0,1,1,,,,,,,,,
194,Blind Tiger Ale House,(212) 462-4682,10014,NY,New York,281 Bleecker St,0,0,0,Blind Tiger,(212) 462-4682,10014,NY,New York,281 Bleecker Street,0,1,0,1,1,,,,,,,,,
707,Blue Hill,(212) 539-1776,10011,NY,New York,75 Washington Pl,0,0,0,Blue Hill,(212) 539-1776,10011,NY,New York,75 Washington Place,0,0,0,1,1,,,,,,,,,
197,Chez Maman,(415) 655-9542,94107,CA,San Francisco,1401 18th St,0,1,1,Chez Maman,(415) 824-7166,94107,CA,San Francisco,1401 18th Street,0,1,1,1,1,,,,,,,,,
201,Maneki,(206) 622-2631,98104,WA,Seattle,304 6th Ave S,0,1,0,Maneki Restaurant,(206) 622-2631,98104,WA,Seattle,304 6th Avenue South,0,1,0,1,1,,,,,,,,,
204,Toro Sushi,(773) 348-7255,60614,IL,Chicago,2546 N Clark St,0,1,0,Toro Sushi,(773) 348-4877,60614,IL,Chicago,2546 N Clark Street,1,1,0,1,1,,,,,,,,,
546,Ada Street,(773) 697-7069,60642,IL,Chicago,1664 N Ada St,0,0,1,Ada Street,(773) 697-7069,60642,IL,Chicago,1664 N Ada Street,0,0,1,1,1,,,,,,,,,
208,Luke’s Lobster,(212) 387-8487,10009,NY,New York,93 E 7th St,0,1,0,Luke's Lobster,(212) 387-8487,10009,NY,New York,93 E 7th Street,1,1,0,1,1,,,,,,,,,
722,Murray’s Cheese Bar,(646) 476-8882,10014,NY,New York,264 Bleecker St,0,1,0,Murray's Cheese Bar,(646) 476-8882,10014,NY,New York,264 Bleecker Street,0,1,0,1,1,,,,,,,,,
212,Le Panier French Bakery,(206) 441-3669,98101,WA,Seattle,1902 Pike Pl,1,1,0,Le Panier,(206) 441-3669,98101,WA,Seattle,Pike Place Market,0,1,0,1,1,,,,,,,,,
1081,Bow Truss Coffee Roasters River North,(312) 222-1306,60654,IL,Chicago,406 N Wells St,0,1,0,Bow Truss Coffee Roasters,(312) 222-1306,60654,IL,Chicago,406 North Wells Street,0,1,0,1,1,,,,,,,,,
1064,La Maison du Macaron,(212) 243-2757,10011,NY,New York,132 W 23rd St,0,1,0,La Maison du Macaron,(212) 243-2757,10011,NY,New York,132 W 23rd Street,1,1,0,1,1,,,,,,,,,
216,Momofuku Ko,(212) 500-0831,10003,NY,New York,8 Extra Pl,0,0,0,Momofuku Ko,(212) 203-8095,10003,NY,New York,8 Extra Place,0,0,0,1,1,,,,,,,,,
729,Pork Store Cafe,(415) 864-6981,94117,CA,San Francisco,1451 Haight St,0,1,0,Pork Store Cafe,(415) 864-6981,94117,CA,San Francisco,1451 Haight Street,0,1,0,1,1,,,,,,,,,
219,Lovejoy’s Tea Room,(415) 648-5895,94114,CA,San Francisco,1351 Church St,0,0,0,Lovejoy's Antiques & Tea Room,(415) 648-5895,94114,CA,San Francisco,1351 Church Street,0,0,0,1,1,,,,,,,,,
991,Lavash,(415) 664-5555,94122,CA,San Francisco,511 Irving St,0,1,0,Lavash,(415) 664-5555,94122,CA,San Francisco,511 Irving Street,0,0,0,1,1,,,,,,,,,
